LineId,Content,EventTemplate
1,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=0.0 LIT101=813.6312 MV101=1 P101=1 P102=1 AIT201=193.0915 AIT202=8.597988 AIT203=344.527 FIT201=0.0 DPIT301=2.003969 AIT503=267.4314,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=<*> LIT101=<*> MV101=<*> P101=<*> P102=<*> AIT201=<*> AIT202=<*> AIT203=<*> FIT201=<*> DPIT301=<*> AIT503=<*>
2,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=0.0 LIT101=813.3564 MV101=1 P101=1 P102=1 AIT201=193.0274 AIT202=8.593822 AIT203=347.2443 FIT201=0.0 DPIT301=2.010372 AIT503=267.6557,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=<*> LIT101=<*> MV101=<*> P101=<*> P102=<*> AIT201=<*> AIT202=<*> AIT203=<*> FIT201=<*> DPIT301=<*> AIT503=<*>
3,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=0.0 LIT101=813.9452 MV101=1 P101=1 P102=1 AIT201=192.8993 AIT202=8.570431 AIT203=358.2671 FIT201=0.0 DPIT301=1.997567 AIT503=268.4248,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=<*> LIT101=<*> MV101=<*> P101=<*> P102=<*> AIT201=<*> AIT202=<*> AIT203=<*> FIT201=<*> DPIT301=<*> AIT503=<*>
4,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=0.0 LIT101=813.6312 MV101=1 P101=1 P102=1 AIT201=197.8659 AIT202=8.524929 AIT203=369.9821 FIT201=0.0 DPIT301=2.042384 AIT503=269.9308,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=<*> LIT101=<*> MV101=<*> P101=<*> P102=<*> AIT201=<*> AIT202=<*> AIT203=<*> FIT201=<*> DPIT301=<*> AIT503=<*>
5,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=2.44179 LIT101=718.6788 MV101=2 P101=1 P102=1 AIT201=188.3491 AIT202=8.635479 AIT203=310.2281 FIT201=0.0 DPIT301=2.019976 AIT503=264.6437,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=<*> LIT101=<*> MV101=<*> P101=<*> P102=<*> AIT201=<*> AIT202=<*> AIT203=<*> FIT201=<*> DPIT301=<*> AIT503=<*>
6,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=0.0 LIT101=813.1602 MV101=1 P101=1 P102=1 AIT201=193.0915 AIT202=8.55505 AIT203=363.4966 FIT201=0.0 DPIT301=2.026378 AIT503=269.1938,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=<*> LIT101=<*> MV101=<*> P101=<*> P102=<*> AIT201=<*> AIT202=<*> AIT203=<*> FIT201=<*> DPIT301=<*> AIT503=<*>
7,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=2.464209 LIT101=796.0323 MV101=2 P101=1 P102=1 AIT201=263.362 AIT202=8.446424 AIT203=318.021 FIT201=0.0 DPIT301=2.003969 AIT503=263.7465,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=<*> LIT101=<*> MV101=<*> P101=<*> P102=<*> AIT201=<*> AIT202=<*> AIT203=<*> FIT201=<*> DPIT301=<*> AIT503=<*>
8,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=0.0 LIT101=814.1022 MV101=1 P101=1 P102=1 AIT201=193.0274 AIT202=8.591579 AIT203=347.1418 FIT201=0.0 DPIT301=2.013573 AIT503=267.6557,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=<*> LIT101=<*> MV101=<*> P101=<*> P102=<*> AIT201=<*> AIT202=<*> AIT203=<*> FIT201=<*> DPIT301=<*> AIT503=<*>
9,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=0.0 LIT101=813.7097 MV101=1 P101=1 P102=1 AIT201=192.8993 AIT202=8.581005 AIT203=354.4732 FIT201=0.0 DPIT301=2.010372 AIT503=268.1043,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=<*> LIT101=<*> MV101=<*> P101=<*> P102=<*> AIT201=<*> AIT202=<*> AIT203=<*> FIT201=<*> DPIT301=<*> AIT503=<*>
10,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=0.0 LIT101=813.5134 MV101=1 P101=1 P102=1 AIT201=193.0595 AIT202=8.546398 AIT203=360.0615 FIT201=0.0 DPIT301=1.997567 AIT503=268.5529,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=<*> LIT101=<*> MV101=<*> P101=<*> P102=<*> AIT201=<*> AIT202=<*> AIT203=<*> FIT201=<*> DPIT301=<*> AIT503=<*>
11,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=0.0 LIT101=813.9452 MV101=1 P101=1 P102=1 AIT201=193.5401 AIT202=8.601833 AIT203=340.7844 FIT201=0.0 DPIT301=2.003969 AIT503=267.2712,DATASET=SWAT EVENT=PROCESS_STATE STATUS=ATTACK FIT101=<*> LIT101=<*> MV101=<*> P101=<*> P102=<*> AIT201=<*> AIT202=<*> AIT203=<*> FIT201=<*> DPIT301=<*> AIT503=<*>
