LineId,Content,EventId,EventTemplate,ParameterList
1,SRC=192.168.1.12 DST=192.168.1.5 SPORT=57558 DPORT=20003 PROTO=6 FLOW_DURATION=118055255 TOT_FWD_PKTS=61 TOT_BWD_PKTS=65 FLOW_BYTES_S=26.34359647946209 FLOW_PKTS_S=1.067296834859236 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=STOP_APP,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.12', '192.168.1.5', '57558', '20003', '6', '118055255', '61', '65', '26.34359647946209', '1.067296834859236', 'EVENT=STOP_APP']"
2,SRC=192.168.1.12 DST=192.168.1.5 SPORT=57558 DPORT=20003 PROTO=6 FLOW_DURATION=118313829 TOT_FWD_PKTS=61 TOT_BWD_PKTS=65 FLOW_BYTES_S=26.286022743799467 FLOW_PKTS_S=1.0649642655044154 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=STOP_APP,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.12', '192.168.1.5', '57558', '20003', '6', '118313829', '61', '65', '26.286022743799467', '1.0649642655044154', 'EVENT=STOP_APP']"
3,SRC=192.168.1.11 DST=192.168.1.4 SPORT=39520 DPORT=20000 PROTO=6 FLOW_DURATION=325 TOT_FWD_PKTS=0 TOT_BWD_PKTS=2 FLOW_BYTES_S=3160000.0 FLOW_PKTS_S=6153.846153846153 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=DNP3_INFO,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.11', '192.168.1.4', '39520', '20000', '6', '325', '0', '2', '3160000.0', '6153.846153846153', 'EVENT=DNP3_INFO']"
4,SRC=192.168.1.11 DST=192.168.1.3 SPORT=33783 DPORT=20002 PROTO=6 FLOW_DURATION=118057955 TOT_FWD_PKTS=66 TOT_BWD_PKTS=70 FLOW_BYTES_S=28.07942929385825 FLOW_PKTS_S=1.1519765864146978 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=DISABLE_UNSOLICITED,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.11', '192.168.1.3', '33783', '20002', '6', '118057955', '66', '70', '28.07942929385825', '1.1519765864146978', 'EVENT=DISABLE_UNSOLICITED']"
5,SRC=192.168.1.2 DST=192.168.1.4 SPORT=48948 DPORT=20000 PROTO=6 FLOW_DURATION=103999315 TOT_FWD_PKTS=1 TOT_BWD_PKTS=2 FLOW_BYTES_S=0.5000032932909222 FLOW_PKTS_S=0.028846343843707 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=MITM_DOS,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.2', '192.168.1.4', '48948', '20000', '6', '103999315', '1', '2', '0.5000032932909222', '0.028846343843707', 'EVENT=MITM_DOS']"
6,SRC=8.6.0.1 DST=8.0.6.4 SPORT=0 DPORT=0 PROTO=0 FLOW_DURATION=119739007 TOT_FWD_PKTS=213 TOT_BWD_PKTS=0 FLOW_BYTES_S=0.0 FLOW_PKTS_S=1.7788689361688126 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=ARP_POISONING,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['8.6.0.1', '8.0.6.4', '0', '0', '0', '119739007', '213', '0', '0.0', '1.7788689361688126', 'EVENT=ARP_POISONING']"
7,SRC=192.168.1.1 DST=192.168.1.4 SPORT=46400 DPORT=20001 PROTO=6 FLOW_DURATION=118065756 TOT_FWD_PKTS=64 TOT_BWD_PKTS=68 FLOW_BYTES_S=27.15435964345157 FLOW_PKTS_S=1.1180210458314432 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=WARM_RESTART,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.1', '192.168.1.4', '46400', '20001', '6', '118065756', '64', '68', '27.15435964345157', '1.1180210458314432', 'EVENT=WARM_RESTART']"
8,SRC=8.6.0.1 DST=8.0.6.4 SPORT=0 DPORT=0 PROTO=0 FLOW_DURATION=119176926 TOT_FWD_PKTS=254 TOT_BWD_PKTS=1 FLOW_BYTES_S=0.0 FLOW_PKTS_S=2.139675930221593 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=ARP_POISONING,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['8.6.0.1', '8.0.6.4', '0', '0', '0', '119176926', '254', '1', '0.0', '2.139675930221593', 'EVENT=ARP_POISONING']"
9,SRC=192.168.1.2 DST=192.168.1.4 SPORT=48948 DPORT=20000 PROTO=6 FLOW_DURATION=104246297 TOT_FWD_PKTS=19 TOT_BWD_PKTS=24 FLOW_BYTES_S=15.712788340098069 FLOW_PKTS_S=0.41248467559476 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=REPLAY,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.2', '192.168.1.4', '48948', '20000', '6', '104246297', '19', '24', '15.712788340098069', '0.41248467559476', 'EVENT=REPLAY']"
10,SRC=192.168.1.5 DST=192.168.1.2 SPORT=20000 DPORT=54242 PROTO=6 FLOW_DURATION=22758093 TOT_FWD_PKTS=12 TOT_BWD_PKTS=14 FLOW_BYTES_S=19.86106656651768 FLOW_PKTS_S=1.1424507317023445 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=NORMAL,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.5', '192.168.1.2', '20000', '54242', '6', '22758093', '12', '14', '19.86106656651768', '1.1424507317023445', 'EVENT=NORMAL']"
11,SRC=192.168.1.2 DST=192.168.1.6 SPORT=52786 DPORT=20000 PROTO=6 FLOW_DURATION=118066204 TOT_FWD_PKTS=61 TOT_BWD_PKTS=65 FLOW_BYTES_S=26.3411534769086 FLOW_PKTS_S=1.067197857906908 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=NORMAL,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.2', '192.168.1.6', '52786', '20000', '6', '118066204', '61', '65', '26.3411534769086', '1.067197857906908', 'EVENT=NORMAL']"
12,SRC=192.168.1.1 DST=192.168.1.3 SPORT=48122 DPORT=20001 PROTO=6 FLOW_DURATION=118064307 TOT_FWD_PKTS=65 TOT_BWD_PKTS=69 FLOW_BYTES_S=27.425731639622462 FLOW_PKTS_S=1.1349746879893177 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=WARM_RESTART,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.1', '192.168.1.3', '48122', '20001', '6', '118064307', '65', '69', '27.425731639622462', '1.1349746879893177', 'EVENT=WARM_RESTART']"
13,SRC=192.168.1.2 DST=192.168.1.4 SPORT=48948 DPORT=20000 PROTO=6 FLOW_DURATION=118838316 TOT_FWD_PKTS=7 TOT_BWD_PKTS=16 FLOW_BYTES_S=3.357502979089673 FLOW_PKTS_S=0.1935402719776002 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=REPLAY,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.2', '192.168.1.4', '48948', '20000', '6', '118838316', '7', '16', '3.357502979089673', '0.1935402719776002', 'EVENT=REPLAY']"
14,SRC=192.168.1.12 DST=192.168.1.5 SPORT=40982 DPORT=20000 PROTO=6 FLOW_DURATION=102 TOT_FWD_PKTS=0 TOT_BWD_PKTS=2 FLOW_BYTES_S=10068627.450980391 FLOW_PKTS_S=19607.843137254906 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=DNP3_INFO,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.12', '192.168.1.5', '40982', '20000', '6', '102', '0', '2', '10068627.450980391', '19607.843137254906', 'EVENT=DNP3_INFO']"
15,SRC=192.168.1.12 DST=192.168.1.5 SPORT=37916 DPORT=20000 PROTO=6 FLOW_DURATION=160 TOT_FWD_PKTS=0 TOT_BWD_PKTS=2 FLOW_BYTES_S=6418749.999999999 FLOW_PKTS_S=12499.999999999998 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=DNP3_ENUMERATE,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.12', '192.168.1.5', '37916', '20000', '6', '160', '0', '2', '6418749.999999999', '12499.999999999998', 'EVENT=DNP3_ENUMERATE']"
16,SRC=192.168.1.1 DST=192.168.1.3 SPORT=56734 DPORT=20001 PROTO=6 FLOW_DURATION=118105617 TOT_FWD_PKTS=61 TOT_BWD_PKTS=65 FLOW_BYTES_S=26.33236317625774 FLOW_PKTS_S=1.0668417235397027 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=INIT_DATA,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.1', '192.168.1.3', '56734', '20001', '6', '118105617', '61', '65', '26.33236317625774', '1.0668417235397027', 'EVENT=INIT_DATA']"
17,SRC=8.6.0.1 DST=8.0.6.4 SPORT=0 DPORT=0 PROTO=0 FLOW_DURATION=119617835 TOT_FWD_PKTS=218 TOT_BWD_PKTS=1 FLOW_BYTES_S=0.0 FLOW_PKTS_S=1.8308306616651269 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=ARP_POISONING,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['8.6.0.1', '8.0.6.4', '0', '0', '0', '119617835', '218', '1', '0.0', '1.8308306616651269', 'EVENT=ARP_POISONING']"
18,SRC=192.168.1.2 DST=192.168.1.3 SPORT=54139 DPORT=20000 PROTO=6 FLOW_DURATION=91186944 TOT_FWD_PKTS=4 TOT_BWD_PKTS=7 FLOW_BYTES_S=11.63543763458067 FLOW_PKTS_S=0.1206313044112981 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=MITM_DOS,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.2', '192.168.1.3', '54139', '20000', '6', '91186944', '4', '7', '11.63543763458067', '0.1206313044112981', 'EVENT=MITM_DOS']"
19,SRC=192.168.1.12 DST=192.168.1.6 SPORT=53837 DPORT=20003 PROTO=6 FLOW_DURATION=119939985 TOT_FWD_PKTS=64 TOT_BWD_PKTS=68 FLOW_BYTES_S=26.730035025433764 FLOW_PKTS_S=1.1005504127751893 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=WARM_RESTART,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.12', '192.168.1.6', '53837', '20003', '6', '119939985', '64', '68', '26.730035025433764', '1.1005504127751893', 'EVENT=WARM_RESTART']"
20,SRC=192.168.1.2 DST=192.168.1.4 SPORT=48948 DPORT=20000 PROTO=6 FLOW_DURATION=114551247 TOT_FWD_PKTS=3 TOT_BWD_PKTS=3 FLOW_BYTES_S=1.082484942307088 FLOW_PKTS_S=0.0523783036600204 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=MITM_DOS,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.2', '192.168.1.4', '48948', '20000', '6', '114551247', '3', '3', '1.082484942307088', '0.0523783036600204', 'EVENT=MITM_DOS']"
21,SRC=192.168.1.11 DST=192.168.1.4 SPORT=58807 DPORT=20002 PROTO=6 FLOW_DURATION=118234719 TOT_FWD_PKTS=61 TOT_BWD_PKTS=65 FLOW_BYTES_S=26.3036105325374 FLOW_PKTS_S=1.0656768254339912 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=INIT_DATA,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.11', '192.168.1.4', '58807', '20002', '6', '118234719', '61', '65', '26.3036105325374', '1.0656768254339912', 'EVENT=INIT_DATA']"
22,SRC=192.168.1.1 DST=192.168.1.3 SPORT=40500 DPORT=20000 PROTO=6 FLOW_DURATION=53 TOT_FWD_PKTS=0 TOT_BWD_PKTS=2 FLOW_BYTES_S=19377358.49056604 FLOW_PKTS_S=37735.84905660377 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=DNP3_INFO,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.1', '192.168.1.3', '40500', '20000', '6', '53', '0', '2', '19377358.49056604', '37735.84905660377', 'EVENT=DNP3_INFO']"
23,SRC=192.168.1.1 DST=192.168.1.3 SPORT=56734 DPORT=20001 PROTO=6 FLOW_DURATION=118114701 TOT_FWD_PKTS=61 TOT_BWD_PKTS=65 FLOW_BYTES_S=26.33033799916236 FLOW_PKTS_S=1.066759674564134 REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN EVENT=INIT_DATA,75745769,SRC=<*> DST=<*> SPORT=<*> DPORT=<*> PROTO=<*> FLOW_DURATION=<*> TOT_FWD_PKTS=<*> TOT_BWD_PKTS=<*> FLOW_BYTES_S=<*>.<*> FLOW_PKTS_S=<*>.<*> REQ_FUNC=UNKNOWN RESP_FUNC=UNKNOWN <*>,"['192.168.1.1', '192.168.1.3', '56734', '20001', '6', '118114701', '61', '65', '26.33033799916236', '1.066759674564134', 'EVENT=INIT_DATA']"
