LineId,Content,EventId,EventTemplate,ParameterList
1,DATASET=SG_SECURITY NODE=N10 ACCESS=logout ATTACK_TYPE=DoS POLICY=isolate_node MTD=Port ATTACK_DETECTED=0 VOLTAGE=222.21 FREQUENCY=49.55 POWER_FLOW=107.52 REACTIVE_POWER=27.31 COMM_SIZE=1808 THREAT_PROB=0.57 RISK_SCORE=0.59 UNCERTAINTY=0.22 TEMPORAL_ENTROPY=0.46 SPECTRAL_ENERGY=7.36 SPATIAL_CORR=0.33,81e34d59,DATASET=SG_SECURITY <*> <*> <*> <*> <*> ATTACK_DETECTED=<*> VOLTAGE=<*>.<*> FREQUENCY=<*>.<*> POWER_FLOW=<*>.<*> REACTIVE_POWER=<*>.<*> COMM_SIZE=<*> THREAT_PROB=<*>.<*> RISK_SCORE=<*>.<*> UNCERTAINTY=<*>.<*> TEMPORAL_ENTROPY=<*>.<*> SPECTRAL_ENERGY=<*>.<*> SPATIAL_CORR=<*>.<*>,"['NODE=N10', 'ACCESS=logout', 'ATTACK_TYPE=DoS POLICY=isolate_node MTD=Port', '0', '222.21', '49.55', '107.52', '27.31', '1808', '0.57', '0.59', '0.22', '0.46', '7.36', '0.33']"
2,DATASET=SG_SECURITY NODE=N1 ACCESS=file_access ATTACK_TYPE=UNKNOWN POLICY=restrict_access MTD=IP+Env ATTACK_DETECTED=1 VOLTAGE=232.78 FREQUENCY=49.88 POWER_FLOW=45.32 REACTIVE_POWER=27.83 COMM_SIZE=5092 THREAT_PROB=0.75 RISK_SCORE=0.13 UNCERTAINTY=0.37 TEMPORAL_ENTROPY=0.43 SPECTRAL_ENERGY=5.07 SPATIAL_CORR=0.31,81e34d59,DATASET=SG_SECURITY <*> <*> <*> <*> <*> ATTACK_DETECTED=<*> VOLTAGE=<*>.<*> FREQUENCY=<*>.<*> POWER_FLOW=<*>.<*> REACTIVE_POWER=<*>.<*> COMM_SIZE=<*> THREAT_PROB=<*>.<*> RISK_SCORE=<*>.<*> UNCERTAINTY=<*>.<*> TEMPORAL_ENTROPY=<*>.<*> SPECTRAL_ENERGY=<*>.<*> SPATIAL_CORR=<*>.<*>,"['NODE=N1', 'ACCESS=file_access', 'ATTACK_TYPE=UNKNOWN POLICY=restrict_access MTD=IP+Env', '1', '232.78', '49.88', '45.32', '27.83', '5092', '0.75', '0.13', '0.37', '0.43', '5.07', '0.31']"
3,DATASET=SG_SECURITY NODE=N44 ACCESS=logout ATTACK_TYPE=Zero-Day POLICY=isolate_node MTD=Port ATTACK_DETECTED=0 VOLTAGE=233.72 FREQUENCY=50.02 POWER_FLOW=105.28 REACTIVE_POWER=32.65 COMM_SIZE=7524 THREAT_PROB=0.61 RISK_SCORE=0.5 UNCERTAINTY=0.01 TEMPORAL_ENTROPY=0.25 SPECTRAL_ENERGY=15.29 SPATIAL_CORR=0.87,81e34d59,DATASET=SG_SECURITY <*> <*> <*> <*> <*> ATTACK_DETECTED=<*> VOLTAGE=<*>.<*> FREQUENCY=<*>.<*> POWER_FLOW=<*>.<*> REACTIVE_POWER=<*>.<*> COMM_SIZE=<*> THREAT_PROB=<*>.<*> RISK_SCORE=<*>.<*> UNCERTAINTY=<*>.<*> TEMPORAL_ENTROPY=<*>.<*> SPECTRAL_ENERGY=<*>.<*> SPATIAL_CORR=<*>.<*>,"['NODE=N44', 'ACCESS=logout', 'ATTACK_TYPE=Zero-Day POLICY=isolate_node MTD=Port', '0', '233.72', '50.02', '105.28', '32.65', '7524', '0.61', '0.5', '0.01', '0.25', '15.29', '0.87']"
4,DATASET=SG_SECURITY NODE=N42 ACCESS=command_exec ATTACK_TYPE=Zero-Day POLICY=increase_monitoring MTD=UNKNOWN ATTACK_DETECTED=0 VOLTAGE=239.41 FREQUENCY=49.68 POWER_FLOW=98.54 REACTIVE_POWER=24.85 COMM_SIZE=6483 THREAT_PROB=0.88 RISK_SCORE=0.92 UNCERTAINTY=0.17 TEMPORAL_ENTROPY=0.66 SPECTRAL_ENERGY=7.19 SPATIAL_CORR=0.85,81e34d59,DATASET=SG_SECURITY <*> <*> <*> <*> <*> ATTACK_DETECTED=<*> VOLTAGE=<*>.<*> FREQUENCY=<*>.<*> POWER_FLOW=<*>.<*> REACTIVE_POWER=<*>.<*> COMM_SIZE=<*> THREAT_PROB=<*>.<*> RISK_SCORE=<*>.<*> UNCERTAINTY=<*>.<*> TEMPORAL_ENTROPY=<*>.<*> SPECTRAL_ENERGY=<*>.<*> SPATIAL_CORR=<*>.<*>,"['NODE=N42', 'ACCESS=command_exec', 'ATTACK_TYPE=Zero-Day POLICY=increase_monitoring MTD=UNKNOWN', '0', '239.41', '49.68', '98.54', '24.85', '6483', '0.88', '0.92', '0.17', '0.66', '7.19', '0.85']"
5,DATASET=SG_SECURITY NODE=N5 ACCESS=logout ATTACK_TYPE=DoS POLICY=restrict_access MTD=IP+Port ATTACK_DETECTED=1 VOLTAGE=238.19 FREQUENCY=49.77 POWER_FLOW=78.59 REACTIVE_POWER=35.3 COMM_SIZE=4338 THREAT_PROB=0.32 RISK_SCORE=0.12 UNCERTAINTY=0.17 TEMPORAL_ENTROPY=0.27 SPECTRAL_ENERGY=16.91 SPATIAL_CORR=0.72,81e34d59,DATASET=SG_SECURITY <*> <*> <*> <*> <*> ATTACK_DETECTED=<*> VOLTAGE=<*>.<*> FREQUENCY=<*>.<*> POWER_FLOW=<*>.<*> REACTIVE_POWER=<*>.<*> COMM_SIZE=<*> THREAT_PROB=<*>.<*> RISK_SCORE=<*>.<*> UNCERTAINTY=<*>.<*> TEMPORAL_ENTROPY=<*>.<*> SPECTRAL_ENERGY=<*>.<*> SPATIAL_CORR=<*>.<*>,"['NODE=N5', 'ACCESS=logout', 'ATTACK_TYPE=DoS POLICY=restrict_access MTD=IP+Port', '1', '238.19', '49.77', '78.59', '35.3', '4338', '0.32', '0.12', '0.17', '0.27', '16.91', '0.72']"
6,DATASET=SG_SECURITY NODE=N16 ACCESS=login ATTACK_TYPE=DoS POLICY=isolate_node MTD=Env ATTACK_DETECTED=1 VOLTAGE=246.39 FREQUENCY=50.04 POWER_FLOW=97.86 REACTIVE_POWER=32.49 COMM_SIZE=4231 THREAT_PROB=0.26 RISK_SCORE=0.77 UNCERTAINTY=0.05 TEMPORAL_ENTROPY=0.55 SPECTRAL_ENERGY=11.49 SPATIAL_CORR=0.76,81e34d59,DATASET=SG_SECURITY <*> <*> <*> <*> <*> ATTACK_DETECTED=<*> VOLTAGE=<*>.<*> FREQUENCY=<*>.<*> POWER_FLOW=<*>.<*> REACTIVE_POWER=<*>.<*> COMM_SIZE=<*> THREAT_PROB=<*>.<*> RISK_SCORE=<*>.<*> UNCERTAINTY=<*>.<*> TEMPORAL_ENTROPY=<*>.<*> SPECTRAL_ENERGY=<*>.<*> SPATIAL_CORR=<*>.<*>,"['NODE=N16', 'ACCESS=login', 'ATTACK_TYPE=DoS POLICY=isolate_node MTD=Env', '1', '246.39', '50.04', '97.86', '32.49', '4231', '0.26', '0.77', '0.05', '0.55', '11.49', '0.76']"
7,DATASET=SG_SECURITY NODE=N9 ACCESS=file_access ATTACK_TYPE=DoS POLICY=alert_operator MTD=Env ATTACK_DETECTED=0 VOLTAGE=235.58 FREQUENCY=49.62 POWER_FLOW=145.72 REACTIVE_POWER=34.42 COMM_SIZE=5136 THREAT_PROB=0.28 RISK_SCORE=0.05 UNCERTAINTY=0.05 TEMPORAL_ENTROPY=0.26 SPECTRAL_ENERGY=8.16 SPATIAL_CORR=0.32,81e34d59,DATASET=SG_SECURITY <*> <*> <*> <*> <*> ATTACK_DETECTED=<*> VOLTAGE=<*>.<*> FREQUENCY=<*>.<*> POWER_FLOW=<*>.<*> REACTIVE_POWER=<*>.<*> COMM_SIZE=<*> THREAT_PROB=<*>.<*> RISK_SCORE=<*>.<*> UNCERTAINTY=<*>.<*> TEMPORAL_ENTROPY=<*>.<*> SPECTRAL_ENERGY=<*>.<*> SPATIAL_CORR=<*>.<*>,"['NODE=N9', 'ACCESS=file_access', 'ATTACK_TYPE=DoS POLICY=alert_operator MTD=Env', '0', '235.58', '49.62', '145.72', '34.42', '5136', '0.28', '0.05', '0.05', '0.26', '8.16', '0.32']"
8,DATASET=SG_SECURITY NODE=N12 ACCESS=command_exec ATTACK_TYPE=UNKNOWN POLICY=increase_monitoring MTD=IP+Env ATTACK_DETECTED=0 VOLTAGE=240.37 FREQUENCY=49.86 POWER_FLOW=66.79 REACTIVE_POWER=26.76 COMM_SIZE=7510 THREAT_PROB=0.28 RISK_SCORE=0.49 UNCERTAINTY=0.02 TEMPORAL_ENTROPY=0.39 SPECTRAL_ENERGY=14.76 SPATIAL_CORR=0.48,81e34d59,DATASET=SG_SECURITY <*> <*> <*> <*> <*> ATTACK_DETECTED=<*> VOLTAGE=<*>.<*> FREQUENCY=<*>.<*> POWER_FLOW=<*>.<*> REACTIVE_POWER=<*>.<*> COMM_SIZE=<*> THREAT_PROB=<*>.<*> RISK_SCORE=<*>.<*> UNCERTAINTY=<*>.<*> TEMPORAL_ENTROPY=<*>.<*> SPECTRAL_ENERGY=<*>.<*> SPATIAL_CORR=<*>.<*>,"['NODE=N12', 'ACCESS=command_exec', 'ATTACK_TYPE=UNKNOWN POLICY=increase_monitoring MTD=IP+Env', '0', '240.37', '49.86', '66.79', '26.76', '7510', '0.28', '0.49', '0.02', '0.39', '14.76', '0.48']"
9,DATASET=SG_SECURITY NODE=N50 ACCESS=command_exec ATTACK_TYPE=MITM POLICY=increase_monitoring MTD=Env ATTACK_DETECTED=1 VOLTAGE=215.59 FREQUENCY=50.46 POWER_FLOW=97.84 REACTIVE_POWER=28.05 COMM_SIZE=9042 THREAT_PROB=0.02 RISK_SCORE=0.45 UNCERTAINTY=0.08 TEMPORAL_ENTROPY=0.8 SPECTRAL_ENERGY=12.88 SPATIAL_CORR=0.61,81e34d59,DATASET=SG_SECURITY <*> <*> <*> <*> <*> ATTACK_DETECTED=<*> VOLTAGE=<*>.<*> FREQUENCY=<*>.<*> POWER_FLOW=<*>.<*> REACTIVE_POWER=<*>.<*> COMM_SIZE=<*> THREAT_PROB=<*>.<*> RISK_SCORE=<*>.<*> UNCERTAINTY=<*>.<*> TEMPORAL_ENTROPY=<*>.<*> SPECTRAL_ENERGY=<*>.<*> SPATIAL_CORR=<*>.<*>,"['NODE=N50', 'ACCESS=command_exec', 'ATTACK_TYPE=MITM POLICY=increase_monitoring MTD=Env', '1', '215.59', '50.46', '97.84', '28.05', '9042', '0.02', '0.45', '0.08', '0.8', '12.88', '0.61']"
10,DATASET=SG_SECURITY NODE=N40 ACCESS=logout ATTACK_TYPE=MITM POLICY=isolate_node MTD=IP ATTACK_DETECTED=1 VOLTAGE=215.44 FREQUENCY=49.92 POWER_FLOW=110.6 REACTIVE_POWER=30.27 COMM_SIZE=8619 THREAT_PROB=0.37 RISK_SCORE=0.81 UNCERTAINTY=0.48 TEMPORAL_ENTROPY=0.51 SPECTRAL_ENERGY=19.41 SPATIAL_CORR=0.53,81e34d59,DATASET=SG_SECURITY <*> <*> <*> <*> <*> ATTACK_DETECTED=<*> VOLTAGE=<*>.<*> FREQUENCY=<*>.<*> POWER_FLOW=<*>.<*> REACTIVE_POWER=<*>.<*> COMM_SIZE=<*> THREAT_PROB=<*>.<*> RISK_SCORE=<*>.<*> UNCERTAINTY=<*>.<*> TEMPORAL_ENTROPY=<*>.<*> SPECTRAL_ENERGY=<*>.<*> SPATIAL_CORR=<*>.<*>,"['NODE=N40', 'ACCESS=logout', 'ATTACK_TYPE=MITM POLICY=isolate_node MTD=IP', '1', '215.44', '49.92', '110.6', '30.27', '8619', '0.37', '0.81', '0.48', '0.51', '19.41', '0.53']"
