LineId,Content,EventId,EventTemplate,ParameterList
1,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=2.493675 LIT101=817.6742 MV101=2 P101=1 P102=1 AIT201=262.625 AIT202=8.46533 AIT203=319.7385 FIT201=0.0 DPIT301=19.76439 AIT503=262.5288,fd937509,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=<*>.<*> LIT101=<*>.<*> MV101=<*> P101=<*> P102=<*> AIT201=<*>.<*> AIT202=<*>.<*> AIT203=<*>.<*> FIT201=<*>.<*> DPIT301=<*>.<*> AIT503=<*>.<*>,"['2.493675', '817.6742', '2', '1', '1', '262.625', '8.46533', '319.7385', '0.0', '19.76439', '262.5288']"
2,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=2.535951 LIT101=817.949 MV101=2 P101=1 P102=1 AIT201=262.625 AIT202=8.46533 AIT203=319.7385 FIT201=0.0 DPIT301=19.76439 AIT503=262.4007,fd937509,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=<*>.<*> LIT101=<*>.<*> MV101=<*> P101=<*> P102=<*> AIT201=<*>.<*> AIT202=<*>.<*> AIT203=<*>.<*> FIT201=<*>.<*> DPIT301=<*>.<*> AIT503=<*>.<*>,"['2.535951', '817.949', '2', '1', '1', '262.625', '8.46533', '319.7385', '0.0', '19.76439', '262.4007']"
3,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=2.535951 LIT101=817.949 MV101=2 P101=1 P102=1 AIT201=262.625 AIT202=8.46533 AIT203=319.7385 FIT201=0.0 DPIT301=19.76439 AIT503=262.4007,fd937509,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=<*>.<*> LIT101=<*>.<*> MV101=<*> P101=<*> P102=<*> AIT201=<*>.<*> AIT202=<*>.<*> AIT203=<*>.<*> FIT201=<*>.<*> DPIT301=<*>.<*> AIT503=<*>.<*>,"['2.535951', '817.949', '2', '1', '1', '262.625', '8.46533', '319.7385', '0.0', '19.76439', '262.4007']"
4,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=2.5699 LIT101=818.4592 MV101=2 P101=1 P102=1 AIT201=262.625 AIT202=8.46533 AIT203=319.7385 FIT201=0.0 DPIT301=19.76439 AIT503=262.3366,fd937509,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=<*>.<*> LIT101=<*>.<*> MV101=<*> P101=<*> P102=<*> AIT201=<*>.<*> AIT202=<*>.<*> AIT203=<*>.<*> FIT201=<*>.<*> DPIT301=<*>.<*> AIT503=<*>.<*>,"['2.5699', '818.4592', '2', '1', '1', '262.625', '8.46533', '319.7385', '0.0', '19.76439', '262.3366']"
5,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=2.610575 LIT101=818.8911 MV101=2 P101=1 P102=1 AIT201=262.625 AIT202=8.46533 AIT203=319.7385 FIT201=0.0 DPIT301=19.76439 AIT503=262.3366,fd937509,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=<*>.<*> LIT101=<*>.<*> MV101=<*> P101=<*> P102=<*> AIT201=<*>.<*> AIT202=<*>.<*> AIT203=<*>.<*> FIT201=<*>.<*> DPIT301=<*>.<*> AIT503=<*>.<*>,"['2.610575', '818.8911', '2', '1', '1', '262.625', '8.46533', '319.7385', '0.0', '19.76439', '262.3366']"
6,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=2.635557 LIT101=818.6948 MV101=2 P101=1 P102=1 AIT201=262.625 AIT202=8.46533 AIT203=319.9436 FIT201=0.0 DPIT301=19.76439 AIT503=262.3366,fd937509,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=<*>.<*> LIT101=<*>.<*> MV101=<*> P101=<*> P102=<*> AIT201=<*>.<*> AIT202=<*>.<*> AIT203=<*>.<*> FIT201=<*>.<*> DPIT301=<*>.<*> AIT503=<*>.<*>,"['2.635557', '818.6948', '2', '1', '1', '262.625', '8.46533', '319.9436', '0.0', '19.76439', '262.3366']"
7,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=2.657336 LIT101=819.3228 MV101=2 P101=1 P102=1 AIT201=262.625 AIT202=8.46533 AIT203=319.9436 FIT201=0.0 DPIT301=19.76439 AIT503=262.3366,fd937509,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=<*>.<*> LIT101=<*>.<*> MV101=<*> P101=<*> P102=<*> AIT201=<*>.<*> AIT202=<*>.<*> AIT203=<*>.<*> FIT201=<*>.<*> DPIT301=<*>.<*> AIT503=<*>.<*>,"['2.657336', '819.3228', '2', '1', '1', '262.625', '8.46533', '319.9436', '0.0', '19.76439', '262.3366']"
8,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=2.663741 LIT101=819.7938 MV101=2 P101=1 P102=1 AIT201=262.625 AIT202=8.46533 AIT203=319.9436 FIT201=0.0 DPIT301=19.72598 AIT503=262.3366,fd937509,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=<*>.<*> LIT101=<*>.<*> MV101=<*> P101=<*> P102=<*> AIT201=<*>.<*> AIT202=<*>.<*> AIT203=<*>.<*> FIT201=<*>.<*> DPIT301=<*>.<*> AIT503=<*>.<*>,"['2.663741', '819.7938', '2', '1', '1', '262.625', '8.46533', '319.9436', '0.0', '19.72598', '262.3366']"
9,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=2.641642 LIT101=820.0686 MV101=2 P101=1 P102=1 AIT201=262.625 AIT202=8.46533 AIT203=319.9436 FIT201=0.0 DPIT301=19.70677 AIT503=262.3366,fd937509,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=<*>.<*> LIT101=<*>.<*> MV101=<*> P101=<*> P102=<*> AIT201=<*>.<*> AIT202=<*>.<*> AIT203=<*>.<*> FIT201=<*>.<*> DPIT301=<*>.<*> AIT503=<*>.<*>,"['2.641642', '820.0686', '2', '1', '1', '262.625', '8.46533', '319.9436', '0.0', '19.70677', '262.3366']"
10,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=2.629792 LIT101=820.4611 MV101=2 P101=1 P102=1 AIT201=262.625 AIT202=8.46533 AIT203=319.9436 FIT201=0.0 DPIT301=19.70677 AIT503=262.3366,fd937509,DATASET=SWAT EVENT=PROCESS_STATE STATUS=Attack FIT101=<*>.<*> LIT101=<*>.<*> MV101=<*> P101=<*> P102=<*> AIT201=<*>.<*> AIT202=<*>.<*> AIT203=<*>.<*> FIT201=<*>.<*> DPIT301=<*>.<*> AIT503=<*>.<*>,"['2.629792', '820.4611', '2', '1', '1', '262.625', '8.46533', '319.9436', '0.0', '19.70677', '262.3366']"
