Content,EventId,EventTemplate,Count
DATASET=SWAT TIMESTAMP=28/12/2015_10:29:14_AM FIT101=2.493675 LIT101=817.6742 MV101=2.0 P101=1.0 P102=1.0 AIT201=262.625 AIT202=8.46533 AIT203=319.7385 FIT201=0.0 MV201=1.0 P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 DPIT301=19.76439 FIT301=2.209269 LIT301=830.5563 MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 AIT402=154.1912 FIT401=1.711595 LIT401=809.254 P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 AIT501=7.876058 AIT502=143.476 AIT503=262.5288 AIT504=12.11228 FIT501=1.725327 FIT502=1.274881 FIT503=0.7353967 FIT504=0.3081062 P501=2.0 P502=1.0 PIT501=249.8718 PIT502=1.681991 PIT503=188.7977 FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,a2ec0812,DATASET=SWAT <*> <*> <*> MV101=2.0 <*> P102=1.0 <*> <*> <*> <*> <*> P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 <*> <*> <*> MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 <*> <*> <*> P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 <*> <*> <*> <*> <*> <*> <*> <*> P501=2.0 P502=1.0 <*> <*> <*> FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,1
DATASET=SWAT TIMESTAMP=28/12/2015_10:29:15_AM FIT101=2.535951 LIT101=817.949 MV101=2.0 P101=1.0 P102=1.0 AIT201=262.625 AIT202=8.46533 AIT203=319.7385 FIT201=0.0 MV201=1.0 P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 DPIT301=19.76439 FIT301=2.209269 LIT301=829.5549 MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 AIT402=154.1912 FIT401=1.711595 LIT401=809.2156 P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 AIT501=7.876058 AIT502=143.476 AIT503=262.4007 AIT504=12.11228 FIT501=1.725327 FIT502=1.280646 FIT503=0.7353967 FIT504=0.3081062 P501=2.0 P502=1.0 PIT501=249.8718 PIT502=1.681991 PIT503=188.7977 FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,a2ec0812,DATASET=SWAT <*> <*> <*> MV101=2.0 <*> P102=1.0 <*> <*> <*> <*> <*> P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 <*> <*> <*> MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 <*> <*> <*> P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 <*> <*> <*> <*> <*> <*> <*> <*> P501=2.0 P502=1.0 <*> <*> <*> FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,1
DATASET=SWAT TIMESTAMP=28/12/2015_10:29:16_AM FIT101=2.535951 LIT101=817.949 MV101=2.0 P101=1.0 P102=1.0 AIT201=262.625 AIT202=8.46533 AIT203=319.7385 FIT201=0.0 MV201=1.0 P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 DPIT301=19.76439 FIT301=2.209269 LIT301=829.5549 MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 AIT402=154.1912 FIT401=1.711595 LIT401=809.2156 P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 AIT501=7.876058 AIT502=143.476 AIT503=262.4007 AIT504=12.11228 FIT501=1.725327 FIT502=1.280646 FIT503=0.7353967 FIT504=0.3081062 P501=2.0 P502=1.0 PIT501=249.8718 PIT502=1.681991 PIT503=188.7977 FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,a2ec0812,DATASET=SWAT <*> <*> <*> MV101=2.0 <*> P102=1.0 <*> <*> <*> <*> <*> P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 <*> <*> <*> MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 <*> <*> <*> P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 <*> <*> <*> <*> <*> <*> <*> <*> P501=2.0 P502=1.0 <*> <*> <*> FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,1
DATASET=SWAT TIMESTAMP=28/12/2015_10:29:17_AM FIT101=2.5699 LIT101=818.4592 MV101=2.0 P101=1.0 P102=1.0 AIT201=262.625 AIT202=8.46533 AIT203=319.7385 FIT201=0.0 MV201=1.0 P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 DPIT301=19.76439 FIT301=2.209269 LIT301=828.9942 MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 AIT402=154.1912 FIT401=1.711595 LIT401=809.0233 P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 AIT501=7.876058 AIT502=143.476 AIT503=262.3366 AIT504=12.11228 FIT501=1.725327 FIT502=1.289996 FIT503=0.7353967 FIT504=0.3081062 P501=2.0 P502=1.0 PIT501=249.8718 PIT502=1.681991 PIT503=188.7977 FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,a2ec0812,DATASET=SWAT <*> <*> <*> MV101=2.0 <*> P102=1.0 <*> <*> <*> <*> <*> P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 <*> <*> <*> MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 <*> <*> <*> P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 <*> <*> <*> <*> <*> <*> <*> <*> P501=2.0 P502=1.0 <*> <*> <*> FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,1
DATASET=SWAT TIMESTAMP=28/12/2015_10:29:18_AM FIT101=2.610575 LIT101=818.8911 MV101=2.0 P101=1.0 P102=1.0 AIT201=262.625 AIT202=8.46533 AIT203=319.7385 FIT201=0.0 MV201=1.0 P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 DPIT301=19.76439 FIT301=2.209269 LIT301=828.2732 MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 AIT402=154.1912 FIT401=1.711595 LIT401=808.9464 P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 AIT501=7.876058 AIT502=143.476 AIT503=262.3366 AIT504=12.11228 FIT501=1.725327 FIT502=1.299603 FIT503=0.7353967 FIT504=0.3081062 P501=2.0 P502=1.0 PIT501=250.0801 PIT502=1.681991 PIT503=188.974 FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,a2ec0812,DATASET=SWAT <*> <*> <*> MV101=2.0 <*> P102=1.0 <*> <*> <*> <*> <*> P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 <*> <*> <*> MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 <*> <*> <*> P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 <*> <*> <*> <*> <*> <*> <*> <*> P501=2.0 P502=1.0 <*> <*> <*> FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,1
DATASET=SWAT TIMESTAMP=28/12/2015_10:29:19_AM FIT101=2.635557 LIT101=818.6948 MV101=2.0 P101=1.0 P102=1.0 AIT201=262.625 AIT202=8.46533 AIT203=319.9436 FIT201=0.0 MV201=1.0 P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 DPIT301=19.76439 FIT301=2.209269 LIT301=827.9528 MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 AIT402=154.1912 FIT401=1.711595 LIT401=808.7926 P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 AIT501=7.876058 AIT502=143.476 AIT503=262.3366 AIT504=12.11228 FIT501=1.725327 FIT502=1.301652 FIT503=0.7353967 FIT504=0.3086186 P501=2.0 P502=1.0 PIT501=250.1923 PIT502=1.681991 PIT503=188.974 FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,a2ec0812,DATASET=SWAT <*> <*> <*> MV101=2.0 <*> P102=1.0 <*> <*> <*> <*> <*> P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 <*> <*> <*> MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 <*> <*> <*> P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 <*> <*> <*> <*> <*> <*> <*> <*> P501=2.0 P502=1.0 <*> <*> <*> FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,1
DATASET=SWAT TIMESTAMP=28/12/2015_10:29:20_AM FIT101=2.657336 LIT101=819.3228 MV101=2.0 P101=1.0 P102=1.0 AIT201=262.625 AIT202=8.46533 AIT203=319.9436 FIT201=0.0 MV201=1.0 P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 DPIT301=19.76439 FIT301=2.209269 LIT301=827.4321 MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 AIT402=154.1912 FIT401=1.711595 LIT401=808.9464 P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 AIT501=7.876058 AIT502=143.476 AIT503=262.3366 AIT504=12.11228 FIT501=1.725327 FIT502=1.284745 FIT503=0.7353967 FIT504=0.3086186 P501=2.0 P502=1.0 PIT501=250.1923 PIT502=1.681991 PIT503=188.974 FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,a2ec0812,DATASET=SWAT <*> <*> <*> MV101=2.0 <*> P102=1.0 <*> <*> <*> <*> <*> P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 <*> <*> <*> MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 <*> <*> <*> P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 <*> <*> <*> <*> <*> <*> <*> <*> P501=2.0 P502=1.0 <*> <*> <*> FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,1
DATASET=SWAT TIMESTAMP=28/12/2015_10:29:21_AM FIT101=2.663741 LIT101=819.7938 MV101=2.0 P101=1.0 P102=1.0 AIT201=262.625 AIT202=8.46533 AIT203=319.9436 FIT201=0.0 MV201=1.0 P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 DPIT301=19.72598 FIT301=2.209269 LIT301=826.8713 MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 AIT402=154.1912 FIT401=1.71262 LIT401=808.9464 P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 AIT501=7.876058 AIT502=143.476 AIT503=262.3366 AIT504=12.11228 FIT501=1.725327 FIT502=1.273473 FIT503=0.7353967 FIT504=0.3086186 P501=2.0 P502=1.0 PIT501=250.1923 PIT502=1.681991 PIT503=189.0541 FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,a2ec0812,DATASET=SWAT <*> <*> <*> MV101=2.0 <*> P102=1.0 <*> <*> <*> <*> <*> P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 <*> <*> <*> MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 <*> <*> <*> P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 <*> <*> <*> <*> <*> <*> <*> <*> P501=2.0 P502=1.0 <*> <*> <*> FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,1
DATASET=SWAT TIMESTAMP=28/12/2015_10:29:22_AM FIT101=2.641642 LIT101=820.0686 MV101=2.0 P101=1.0 P102=1.0 AIT201=262.625 AIT202=8.46533 AIT203=319.9436 FIT201=0.0 MV201=1.0 P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 DPIT301=19.70677 FIT301=2.210678 LIT301=826.3907 MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 AIT402=154.4219 FIT401=1.714029 LIT401=808.9849 P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 AIT501=7.876058 AIT502=143.476 AIT503=262.3366 AIT504=12.11228 FIT501=1.726352 FIT502=1.26425 FIT503=0.7353967 FIT504=0.3086186 P501=2.0 P502=1.0 PIT501=250.1923 PIT502=1.681991 PIT503=189.0541 FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,a2ec0812,DATASET=SWAT <*> <*> <*> MV101=2.0 <*> P102=1.0 <*> <*> <*> <*> <*> P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 <*> <*> <*> MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 <*> <*> <*> P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 <*> <*> <*> <*> <*> <*> <*> <*> P501=2.0 P502=1.0 <*> <*> <*> FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,1
DATASET=SWAT TIMESTAMP=28/12/2015_10:29:23_AM FIT101=2.629792 LIT101=820.4611 MV101=2.0 P101=1.0 P102=1.0 AIT201=262.625 AIT202=8.46533 AIT203=319.9436 FIT201=0.0 MV201=1.0 P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 DPIT301=19.70677 FIT301=2.210678 LIT301=826.2705 MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 AIT402=154.4219 FIT401=1.716464 LIT401=809.7155 P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 AIT501=7.876058 AIT502=143.476 AIT503=262.3366 AIT504=12.11228 FIT501=1.727378 FIT502=1.262073 FIT503=0.7353967 FIT504=0.3086186 P501=2.0 P502=1.0 PIT501=250.1923 PIT502=1.681991 PIT503=189.2143 FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,a2ec0812,DATASET=SWAT <*> <*> <*> MV101=2.0 <*> P102=1.0 <*> <*> <*> <*> <*> P201=1.0 P202=1.0 P203=1.0 P204=1.0 P205=1.0 P206=1.0 <*> <*> <*> MV301=1.0 MV302=2.0 MV303=1.0 MV304=1.0 P301=1.0 P302=2.0 AIT401=148.808 <*> <*> <*> P401=1.0 P402=2.0 P403=1.0 P404=1.0 UV401=2.0 <*> <*> <*> <*> <*> <*> <*> <*> P501=2.0 P502=1.0 <*> <*> <*> FIT601=0.000128152 P601=1.0 P602=1.0 P603=1.0 NORMAL_SATTACK=Attack,1
