,Unnamed: 0,flow ID, source IP, destination IP, source port, destination port, protocol, date, duration, TotalFwdPkts, TotalBwdPkts, TotLenfwdDL, TotLenfwdTR, TotLenfwdAPP, TotLenbwdDL, TotLenbwdTR, TotLenbwdAPP, DLfwdPktLenMAX, DLfwdPktLenMIN, DLfwdPktLenMEAN, DLfwdPktLenSTD, TRfwdPktLenMAX, TRfwdPktLenMIN, TRfwdPktLenMEAN, TRfwdPktLenSTD, APPfwdPktLenMAX, APPfwdPktLenMIN, APPfwdPktLenMEAN, APPfwdPktLenSTD, DLbwdPktLenMAX, DLbwdPktLenMIN, DLbwdPktLenMEAN, DLbwdPktLenSTD, TRbwdPktLenMAX, TRbwdPktLenMIN, TRbwdPktLenMEAN, TRbwdPktLenSTD, APPbwdPktLenMAX, APPbwdPktLenMIN, APPbwdPktLenMEAN, APPbwdPktLenSTD, DLflowBytes/sec, TRflowBytes/sec, APPflowBytes/sec, FlowPkts/sec, FlowIAT_MEAN, FlowIAT_STD, FlowIAT_MAX, FlowIAT_MIN, TotalFwdIAT, fwdIAT_MEAN, fwdIAT_STD, fwdIAT_MAX, fwdIAT_MIN, TotalBwdIAT, bwdIAT_MEAN, bwdIAT_STD, bwdIAT_MAX, bwdIAT_MIN, DLfwdHdrLen, TRfwdHdrLen, APPfwdHdrLen, DLbwdHdrLen, TRbwdHdrLen, APPbwdHdrLen, fwdPkts/sec, bwdPkts/sec, DLpktLenMEAN, DLpktLenMIN, DLpktLenMAX, DLpktLenSTD, DLpktLenVAR, TRpktLenMEAN, TRpktLenMIN, TRpktLenMAX, TRpktLenSTD, TRpktLenVAR, APPpktLenMEAN, APPpktLenMIN, APPpktLenMAX, APPpktLenSTD, APPpktLenVAR, ActiveMEAN, ActiveSTD, ActiveMAX, ActiveMIN, IdleMEAN, IdleSTD, IdleMAX, IdleMIN, frameSrc, frameDst, TotPktsInFlow, firstPacketDIR, mostCommonREQ_FUNC_CODE, mostCommonRESP_FUNC_CODE, corruptConfigFragments, deviceTroubleFragments, deviceRestartFragments, pktsFromMASTER, pktsFromSLAVE, Label
21167,208,192.168.1.11-192.168.1.6-43510-20002,192.168.1.11,192.168.1.6,43510,20002,6, 16/05/2020  00:54:03 ,118069146,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.97369054,14.85570159,11.48479553,1.117988945,901291.1908,966696.7327,2007550,153,118068842,1844825.656,401693.7919,2007754,150123,118068902,1788922.758,507841.6908,2007842,455,650,65,130,670,67,268,0.550524859,0.567464086,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,3,14,132,MASTER,1,129,0,0,0,65,67,WARM_RESTART
1688,17,192.168.1.12-192.168.1.5-57558-20003,192.168.1.12,192.168.1.5,57558,20003,6, 19/05/2020  11:36:03 ,118361402,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.63009536,14.56555913,11.35505306,1.064536224,946891.216,994518.0595,2069925,161,118361131,1940346.41,292037.029,2070182,344913,118361123,1878747.984,447367.1549,2070140,396,620,62,124,640,64,256,0.523819412,0.540716812,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,4,13,126,MASTER,1,129,0,0,0,62,64,STOP_APP
6698,20,192.168.1.1-192.168.1.5-40070-20001,192.168.1.1,192.168.1.5,40070,20001,6, 14/05/2020  23:40:01 ,118060679,65,67,556,491,361,1357,1290,1022,17,8,8.553846154,1.976666775,16,7,7.553846154,1.976666775,14,5,5.553846154,1.976666775,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,16.20353208,15.08546296,11.71431514,1.118069124,901226.5573,970373.9941,2001971,154,118060425,1844694.141,419591.2867,2002295,333254,118060319,1788792.712,521705,2002195,534,650,65,130,670,67,268,0.550564342,0.567504783,14.49242424,7,282,39.2067326,1537.167881,13.49242424,6,281,39.2067326,1537.167881,10.47727273,2,277,39.069026,1526.388793,0,0,0,0,0,0,0,0,2,13,132,MASTER,1,129,0,0,0,65,67,DISABLE_UNSOLICITED
14376,71,192.168.1.12-192.168.1.6-36519-20003,192.168.1.12,192.168.1.6,36519,20003,6, 15/05/2020  18:54:03 ,118067682,65,67,529,464,334,1357,1290,1022,17,5,8.138461538,1.712791244,16,4,7.138461538,1.712791244,14,2,5.138461538,1.712791244,282,7,20.25373134,54.57864586,281,6,19.25373134,54.57864586,277,2,15.25373134,54.57864586,15.9738886,14.8558858,11.48493794,1.118002808,901280.0153,979649.4745,2007934,131,118067389,1844802.953,461603.8317,2008158,23404,118067521,1788901.833,554980.0582,2008183,428,650,65,130,670,67,268,0.550531686,0.567471122,14.28787879,5,282,39.23243134,1539.183669,13.28787879,4,281,39.23243134,1539.183669,10.27272727,2,277,39.08946304,1527.986121,0,0,0,0,0,0,0,0,4,14,132,MASTER,1,129,0,0,0,65,67,COLD_RESTART
677,8,192.168.1.2-192.168.1.4-48948-20000,192.168.1.2,192.168.1.4,48948,20000,6, 18/05/2020  18:52:33 ,110370515,15,16,138,123,93,1000,984,920,17,8,9.2,3.166791977,16,7,8.2,3.166791977,14,5,6.2,3.166791977,282,7,62.5,102.9847885,281,6,61.5,102.9847885,277,2,57.5,102.9847885,10.31072474,10.02985263,9.178175892,0.280872115,3679017.167,6473361.607,25006789,177,110370291,7883592.214,8667324.257,26387890,56968,109308251,7287216.733,7696117.312,25007013,606,150,15,30,160,16,64,0.135905862,0.144966253,36.70967742,7,282,77.72223772,6040.746237,35.70967742,6,281,77.72223772,6040.746237,32.67741935,2,277,77.37415033,5986.75914,1322525,2245257.762,6012226,0,12473761.38,7141851.225,25006789,5255401,1,12,31,MASTER,1,129,0,0,0,15,16,REPLAY
35376,464,192.168.1.11-192.168.1.4-39058-20000,192.168.1.11,192.168.1.4,39058,20000,6, 16/05/2020  20:45:24 ,128,1,1,1000,999,997,7,6,2,1000,1000,1000,-1,999,999,999,-1,997,997,997,-1,7,7,7,-1,6,6,6,-1,2,2,2,-1,7867187.5,7851562.5,7804687.5,15625,128,-1,128,128,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,7812.5,7812.5,503.5,7,1000,702.1570337,493024.5,502.5,6,999,702.1570337,493024.5,499.5,2,997,703.5712473,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_INFO
20091,866,192.168.1.2-192.168.1.5-41037-20000,192.168.1.2,192.168.1.5,41037,20000,6, 16/05/2020  02:46:08 ,118057907,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.67027611,14.60300325,11.38424384,1.06727286,944463.256,1000688.788,2000887,526,118057193,1935363.82,353958.9805,2001505,15467,118057173,1873923.381,485610.8682,2001628,526,620,62,124,640,64,256,0.52516601,0.542106849,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,1,13,126,MASTER,1,129,0,0,0,62,64,NORMAL
24798,490,192.168.1.1-192.168.1.3-39728-20000,192.168.1.1,192.168.1.3,39728,20000,6, 16/05/2020  18:14:18 ,80,1,1,1000,999,997,7,6,2,1000,1000,1000,-1,999,999,999,-1,997,997,997,-1,7,7,7,-1,6,6,6,-1,2,2,2,-1,12587500,12562500,12487500,25000,80,-1,80,80,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,12500,12500,503.5,7,1000,702.1570337,493024.5,502.5,6,999,702.1570337,493024.5,499.5,2,997,703.5712473,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
25023,154,192.168.1.11-192.168.1.4-36926-20000,192.168.1.11,192.168.1.4,36926,20000,6, 16/05/2020  15:50:59 ,242,1,1,1000,999,997,7,6,2,1000,1000,1000,-1,999,999,999,-1,997,997,997,-1,7,7,7,-1,6,6,6,-1,2,2,2,-1,4161157.025,4152892.562,4128099.174,8264.46281,242,-1,242,242,0,0,0,0,0,0,0,0,0,0,10,1,2,10,1,4,4132.231405,4132.231405,503.5,7,1000,702.1570337,493024.5,502.5,6,999,702.1570337,493024.5,499.5,2,997,703.5712473,495012.5,0,0,0,0,0,0,0,0,0,0,2,MASTER,5,130,0,0,0,1,1,DNP3_ENUMERATE
563,73,192.168.1.1-192.168.1.3-53048-20001,192.168.1.1,192.168.1.3,53048,20001,6, 19/05/2020  13:46:18 ,118242665,62,64,514,452,328,1336,1272,1016,17,8,8.290322581,1.603143396,16,7,7.290322581,1.603143396,14,5,5.290322581,1.603143396,282,7,20.875,55.78459138,281,6,19.875,55.78459138,277,2,15.875,55.78459138,15.6457908,14.58018559,11.36645559,1.065605211,945941.32,991261.5843,2074623,324,118241973,1938393,279213.8865,2075384,431985,118241894,1876855.46,439033.2019,2075359,324,620,62,124,640,64,256,0.524345421,0.54125979,14.68253968,7,282,40.1193521,1609.562413,13.68253968,6,281,40.1193521,1609.562413,10.66666667,2,277,39.97359128,1597.888,0,0,0,0,0,0,0,0,2,11,126,MASTER,1,129,0,0,0,62,64,STOP_APP
