timestamp,node_id,voltage_level,frequency_signal,power_flow,reactive_power,communication_log_size,access_behavior,temporal_entropy,spectral_energy,spatial_correlation,wavelet_coeff_avg,wavelet_coeff_std,threat_probability,attack_type,risk_score,uncertainty,policy_action,reward_value,ip_mutation,port_rotation,env_diversification,mtd_strategy_used,attack_detected
2024-01-01 00:00:00,N10,222.21,49.55,107.52,27.31,1808,logout,0.46,7.36,0.33,0.972,0.475,0.57,DoS,0.59,0.22,isolate_node,0.33,1,1,0,Port,0
2024-01-01 00:15:00,N1,232.78,49.88,45.32,27.83,5092,file_access,0.43,5.07,0.31,0.356,0.216,0.75,None,0.13,0.37,restrict_access,0.11,1,1,1,IP+Env,1
2024-01-01 00:30:00,N44,233.72,50.02,105.28,32.65,7524,logout,0.25,15.29,0.87,-0.176,0.401,0.61,Zero-Day,0.5,0.01,isolate_node,0.94,1,0,1,Port,0
2024-01-01 00:45:00,N42,239.41,49.68,98.54,24.85,6483,command_exec,0.66,7.19,0.85,-0.778,0.258,0.88,Zero-Day,0.92,0.17,increase_monitoring,0.34,1,1,0,None,0
2024-01-01 01:00:00,N5,238.19,49.77,78.59,35.3,4338,logout,0.27,16.91,0.72,0.545,0.316,0.32,DoS,0.12,0.17,restrict_access,0.98,0,1,1,IP+Port,1
2024-01-01 01:15:00,N16,246.39,50.04,97.86,32.49,4231,login,0.55,11.49,0.76,0.884,0.06,0.26,DoS,0.77,0.05,isolate_node,0.08,1,0,0,Env,1
2024-01-01 01:30:00,N9,235.58,49.62,145.72,34.42,5136,file_access,0.26,8.16,0.32,0.033,0.454,0.28,DoS,0.05,0.05,alert_operator,0.42,1,0,0,Env,0
2024-01-01 01:45:00,N12,240.37,49.86,66.79,26.76,7510,command_exec,0.39,14.76,0.48,-0.205,0.25,0.28,None,0.49,0.02,increase_monitoring,0.35,1,1,1,IP+Env,0
2024-01-01 02:00:00,N50,215.59,50.46,97.84,28.05,9042,command_exec,0.8,12.88,0.61,0.537,0.333,0.02,MITM,0.45,0.08,increase_monitoring,0.88,0,0,0,Env,1
2024-01-01 02:15:00,N40,215.44,49.92,110.6,30.27,8619,logout,0.51,19.41,0.53,-0.184,0.004,0.37,MITM,0.81,0.48,isolate_node,0.06,1,1,1,IP,1
