Content,EventId,RegexTemplate
DATASET=SG_SECURITY TIMESTAMP=2024-01-01_08:15:00 NODE_ID=N13 VOLTAGE_LEVEL=229.0 FREQUENCY_SIGNAL=50.26 POWER_FLOW=62.18 REACTIVE_POWER=25.86 COMMUNICATION_LOG_SIZE=8013 ACCESS_BEHAVIOR=logout TEMPORAL_ENTROPY=0.62 SPECTRAL_ENERGY=10.89 SPATIAL_CORRELATION=0.78 WAVELET_COEFF_AVG=-0.779 WAVELET_COEFF_STD=0.093 THREAT_PROBABILITY=0.48 ATTACK_TYPE=UNKNOWN RISK_SCORE=0.7 UNCERTAINTY=0.24 POLICY_ACTION=increase_monitoring REWARD_VALUE=0.44 IP_MUTATION=1 PORT_ROTATION=0 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=IP+Env ATTACK_DETECTED=1,00c1a806,DATASET=SG_SECURITY TIMESTAMP=2024\-01\-01_08:(.*?) NODE_ID=N13 VOLTAGE_LEVEL=229\.(.*?) FREQUENCY_SIGNAL=50\.(.*?) POWER_FLOW=62\.(.*?) REACTIVE_POWER=25\.(.*?) COMMUNICATION_LOG_SIZE=(.*?) ACCESS_BEHAVIOR=logout TEMPORAL_ENTROPY=0\.(.*?) SPECTRAL_ENERGY=10\.(.*?) SPATIAL_CORRELATION=0\.(.*?) WAVELET_COEFF_AVG=\-0\.(.*?) WAVELET_COEFF_STD=0\.(.*?) THREAT_PROBABILITY=0\.(.*?) ATTACK_TYPE=UNKNOWN RISK_SCORE=0\.(.*?) UNCERTAINTY=0\.(.*?) POLICY_ACTION=increase_monitoring REWARD_VALUE=0\.(.*?) IP_MUTATION=(.*?) PORT_ROTATION=(.*?) ENV_DIVERSIFICATION=(.*?) MTD_STRATEGY_USED=IP\+Env ATTACK_DETECTED=(.*?)$
DATASET=SG_SECURITY TIMESTAMP=2024-01-01_18:30:00 NODE_ID=N14 VOLTAGE_LEVEL=204.67 FREQUENCY_SIGNAL=50.17 POWER_FLOW=109.2 REACTIVE_POWER=21.81 COMMUNICATION_LOG_SIZE=6081 ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0.14 SPECTRAL_ENERGY=7.01 SPATIAL_CORRELATION=0.77 WAVELET_COEFF_AVG=-0.953 WAVELET_COEFF_STD=0.357 THREAT_PROBABILITY=0.34 ATTACK_TYPE=Insider RISK_SCORE=0.62 UNCERTAINTY=0.5 POLICY_ACTION=alert_operator REWARD_VALUE=0.45 IP_MUTATION=1 PORT_ROTATION=0 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=UNKNOWN ATTACK_DETECTED=1,0117c675,DATASET=SG_SECURITY TIMESTAMP=2024\-01\-01_18:(.*?) NODE_ID=N14 VOLTAGE_LEVEL=204\.(.*?) FREQUENCY_SIGNAL=50\.(.*?) POWER_FLOW=109\.(.*?) REACTIVE_POWER=21\.(.*?) COMMUNICATION_LOG_SIZE=(.*?) ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0\.(.*?) SPECTRAL_ENERGY=7\.(.*?) SPATIAL_CORRELATION=0\.(.*?) WAVELET_COEFF_AVG=\-0\.(.*?) WAVELET_COEFF_STD=0\.(.*?) THREAT_PROBABILITY=0\.(.*?) ATTACK_TYPE=Insider RISK_SCORE=0\.(.*?) UNCERTAINTY=0\.(.*?) POLICY_ACTION=alert_operator REWARD_VALUE=0\.(.*?) IP_MUTATION=(.*?) PORT_ROTATION=(.*?) ENV_DIVERSIFICATION=(.*?) MTD_STRATEGY_USED=UNKNOWN ATTACK_DETECTED=(.*?)$
DATASET=SG_SECURITY TIMESTAMP=2024-01-01_19:30:00 NODE_ID=N10 VOLTAGE_LEVEL=251.34 FREQUENCY_SIGNAL=50.03 POWER_FLOW=90.39 REACTIVE_POWER=27.21 COMMUNICATION_LOG_SIZE=1928 ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0.82 SPECTRAL_ENERGY=6.59 SPATIAL_CORRELATION=0.47 WAVELET_COEFF_AVG=0.092 WAVELET_COEFF_STD=0.182 THREAT_PROBABILITY=0.29 ATTACK_TYPE=DoS RISK_SCORE=0.66 UNCERTAINTY=0.23 POLICY_ACTION=alert_operator REWARD_VALUE=0.6 IP_MUTATION=0 PORT_ROTATION=1 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=IP ATTACK_DETECTED=0,07981202,DATASET=SG_SECURITY TIMESTAMP=2024\-01\-01_19:(.*?) NODE_ID=N10 VOLTAGE_LEVEL=251\.(.*?) FREQUENCY_SIGNAL=50\.(.*?) POWER_FLOW=90\.(.*?) REACTIVE_POWER=27\.(.*?) COMMUNICATION_LOG_SIZE=(.*?) ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0\.(.*?) SPECTRAL_ENERGY=6\.(.*?) SPATIAL_CORRELATION=0\.(.*?) WAVELET_COEFF_AVG=0\.(.*?) WAVELET_COEFF_STD=0\.(.*?) THREAT_PROBABILITY=0\.(.*?) ATTACK_TYPE=DoS RISK_SCORE=0\.(.*?) UNCERTAINTY=0\.(.*?) POLICY_ACTION=alert_operator REWARD_VALUE=0\.(.*?) IP_MUTATION=(.*?) PORT_ROTATION=(.*?) ENV_DIVERSIFICATION=(.*?) MTD_STRATEGY_USED=IP ATTACK_DETECTED=(.*?)$
DATASET=SG_SECURITY TIMESTAMP=2024-01-01_06:45:00 NODE_ID=N8 VOLTAGE_LEVEL=221.23 FREQUENCY_SIGNAL=50.21 POWER_FLOW=150.84 REACTIVE_POWER=32.8 COMMUNICATION_LOG_SIZE=7864 ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0.86 SPECTRAL_ENERGY=13.49 SPATIAL_CORRELATION=0.51 WAVELET_COEFF_AVG=0.423 WAVELET_COEFF_STD=0.09 THREAT_PROBABILITY=0.96 ATTACK_TYPE=MITM RISK_SCORE=0.85 UNCERTAINTY=0.13 POLICY_ACTION=increase_monitoring REWARD_VALUE=0.73 IP_MUTATION=1 PORT_ROTATION=0 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=Env ATTACK_DETECTED=0,0d4985f9,DATASET=SG_SECURITY TIMESTAMP=2024\-01\-01_06:(.*?) NODE_ID=N8 VOLTAGE_LEVEL=221\.(.*?) FREQUENCY_SIGNAL=50\.(.*?) POWER_FLOW=150\.(.*?) REACTIVE_POWER=32\.(.*?) COMMUNICATION_LOG_SIZE=(.*?) ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0\.(.*?) SPECTRAL_ENERGY=13\.(.*?) SPATIAL_CORRELATION=0\.(.*?) WAVELET_COEFF_AVG=0\.(.*?) WAVELET_COEFF_STD=0\.(.*?) THREAT_PROBABILITY=0\.(.*?) ATTACK_TYPE=MITM RISK_SCORE=0\.(.*?) UNCERTAINTY=0\.(.*?) POLICY_ACTION=increase_monitoring REWARD_VALUE=0\.(.*?) IP_MUTATION=(.*?) PORT_ROTATION=(.*?) ENV_DIVERSIFICATION=(.*?) MTD_STRATEGY_USED=Env ATTACK_DETECTED=(.*?)$
DATASET=SG_SECURITY TIMESTAMP=2024-01-01_00:30:00 NODE_ID=N44 VOLTAGE_LEVEL=233.72 FREQUENCY_SIGNAL=50.02 POWER_FLOW=105.28 REACTIVE_POWER=32.65 COMMUNICATION_LOG_SIZE=7524 ACCESS_BEHAVIOR=logout TEMPORAL_ENTROPY=0.25 SPECTRAL_ENERGY=15.29 SPATIAL_CORRELATION=0.87 WAVELET_COEFF_AVG=-0.176 WAVELET_COEFF_STD=0.401 THREAT_PROBABILITY=0.61 ATTACK_TYPE=Zero-Day RISK_SCORE=0.5 UNCERTAINTY=0.01 POLICY_ACTION=isolate_node REWARD_VALUE=0.94 IP_MUTATION=1 PORT_ROTATION=0 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=Port ATTACK_DETECTED=0,0fb744b2,DATASET=SG_SECURITY TIMESTAMP=2024\-01\-01_00:(.*?) NODE_ID=N44 VOLTAGE_LEVEL=233\.(.*?) FREQUENCY_SIGNAL=50\.(.*?) POWER_FLOW=105\.(.*?) REACTIVE_POWER=32\.(.*?) COMMUNICATION_LOG_SIZE=(.*?) ACCESS_BEHAVIOR=logout TEMPORAL_ENTROPY=0\.(.*?) SPECTRAL_ENERGY=15\.(.*?) SPATIAL_CORRELATION=0\.(.*?) WAVELET_COEFF_AVG=\-0\.(.*?) WAVELET_COEFF_STD=0\.(.*?) THREAT_PROBABILITY=0\.(.*?) ATTACK_TYPE=Zero\-Day RISK_SCORE=0\.(.*?) UNCERTAINTY=0\.(.*?) POLICY_ACTION=isolate_node REWARD_VALUE=0\.(.*?) IP_MUTATION=(.*?) PORT_ROTATION=(.*?) ENV_DIVERSIFICATION=(.*?) MTD_STRATEGY_USED=Port ATTACK_DETECTED=(.*?)$
DATASET=SG_SECURITY TIMESTAMP=2024-01-01_20:30:00 NODE_ID=N1 VOLTAGE_LEVEL=233.1 FREQUENCY_SIGNAL=50.03 POWER_FLOW=106.77 REACTIVE_POWER=25.83 COMMUNICATION_LOG_SIZE=7861 ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0.36 SPECTRAL_ENERGY=10.47 SPATIAL_CORRELATION=0.6 WAVELET_COEFF_AVG=0.167 WAVELET_COEFF_STD=0.196 THREAT_PROBABILITY=0.78 ATTACK_TYPE=False_Data_Injection RISK_SCORE=0.64 UNCERTAINTY=0.01 POLICY_ACTION=isolate_node REWARD_VALUE=0.67 IP_MUTATION=1 PORT_ROTATION=1 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=UNKNOWN ATTACK_DETECTED=1,100e45e5,DATASET=SG_SECURITY TIMESTAMP=2024\-01\-01_20:(.*?) NODE_ID=N1 VOLTAGE_LEVEL=233\.(.*?) FREQUENCY_SIGNAL=50\.(.*?) POWER_FLOW=106\.(.*?) REACTIVE_POWER=25\.(.*?) COMMUNICATION_LOG_SIZE=(.*?) ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0\.(.*?) SPECTRAL_ENERGY=10\.(.*?) SPATIAL_CORRELATION=0\.(.*?) WAVELET_COEFF_AVG=0\.(.*?) WAVELET_COEFF_STD=0\.(.*?) THREAT_PROBABILITY=0\.(.*?) ATTACK_TYPE=False_Data_Injection RISK_SCORE=0\.(.*?) UNCERTAINTY=0\.(.*?) POLICY_ACTION=isolate_node REWARD_VALUE=0\.(.*?) IP_MUTATION=(.*?) PORT_ROTATION=(.*?) ENV_DIVERSIFICATION=(.*?) MTD_STRATEGY_USED=UNKNOWN ATTACK_DETECTED=(.*?)$
DATASET=SG_SECURITY TIMESTAMP=2024-01-01_04:15:00 NODE_ID=N18 VOLTAGE_LEVEL=221.49 FREQUENCY_SIGNAL=50.3 POWER_FLOW=96.82 REACTIVE_POWER=28.47 COMMUNICATION_LOG_SIZE=9950 ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0.95 SPECTRAL_ENERGY=5.04 SPATIAL_CORRELATION=0.46 WAVELET_COEFF_AVG=-0.194 WAVELET_COEFF_STD=0.014 THREAT_PROBABILITY=0.7 ATTACK_TYPE=Insider RISK_SCORE=0.54 UNCERTAINTY=0.31 POLICY_ACTION=alert_operator REWARD_VALUE=0.13 IP_MUTATION=1 PORT_ROTATION=0 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=IP+Env ATTACK_DETECTED=1,10d5c043,DATASET=SG_SECURITY TIMESTAMP=2024\-01\-01_04:(.*?) NODE_ID=N18 VOLTAGE_LEVEL=221\.(.*?) FREQUENCY_SIGNAL=50\.(.*?) POWER_FLOW=96\.(.*?) REACTIVE_POWER=28\.(.*?) COMMUNICATION_LOG_SIZE=(.*?) ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0\.(.*?) SPECTRAL_ENERGY=5\.(.*?) SPATIAL_CORRELATION=0\.(.*?) WAVELET_COEFF_AVG=\-0\.(.*?) WAVELET_COEFF_STD=0\.(.*?) THREAT_PROBABILITY=0\.(.*?) ATTACK_TYPE=Insider RISK_SCORE=0\.(.*?) UNCERTAINTY=0\.(.*?) POLICY_ACTION=alert_operator REWARD_VALUE=0\.(.*?) IP_MUTATION=(.*?) PORT_ROTATION=(.*?) ENV_DIVERSIFICATION=(.*?) MTD_STRATEGY_USED=IP\+Env ATTACK_DETECTED=(.*?)$
DATASET=SG_SECURITY TIMESTAMP=2024-01-01_07:45:00 NODE_ID=N40 VOLTAGE_LEVEL=238.26 FREQUENCY_SIGNAL=49.92 POWER_FLOW=113.64 REACTIVE_POWER=35.75 COMMUNICATION_LOG_SIZE=8797 ACCESS_BEHAVIOR=logout TEMPORAL_ENTROPY=0.45 SPECTRAL_ENERGY=6.0 SPATIAL_CORRELATION=0.36 WAVELET_COEFF_AVG=0.728 WAVELET_COEFF_STD=0.12 THREAT_PROBABILITY=1.0 ATTACK_TYPE=UNKNOWN RISK_SCORE=0.9 UNCERTAINTY=0.49 POLICY_ACTION=increase_monitoring REWARD_VALUE=0.66 IP_MUTATION=1 PORT_ROTATION=1 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=Env ATTACK_DETECTED=0,1360bab4,DATASET=SG_SECURITY TIMESTAMP=2024\-01\-01_07:(.*?) NODE_ID=N40 VOLTAGE_LEVEL=238\.(.*?) FREQUENCY_SIGNAL=49\.(.*?) POWER_FLOW=113\.(.*?) REACTIVE_POWER=35\.(.*?) COMMUNICATION_LOG_SIZE=(.*?) ACCESS_BEHAVIOR=logout TEMPORAL_ENTROPY=0\.(.*?) SPECTRAL_ENERGY=6\.(.*?) SPATIAL_CORRELATION=0\.(.*?) WAVELET_COEFF_AVG=0\.(.*?) WAVELET_COEFF_STD=0\.(.*?) THREAT_PROBABILITY=1\.(.*?) ATTACK_TYPE=UNKNOWN RISK_SCORE=0\.(.*?) UNCERTAINTY=0\.(.*?) POLICY_ACTION=increase_monitoring REWARD_VALUE=0\.(.*?) IP_MUTATION=(.*?) PORT_ROTATION=(.*?) ENV_DIVERSIFICATION=(.*?) MTD_STRATEGY_USED=Env ATTACK_DETECTED=(.*?)$
DATASET=SG_SECURITY TIMESTAMP=2024-01-01_20:45:00 NODE_ID=N2 VOLTAGE_LEVEL=238.7 FREQUENCY_SIGNAL=50.08 POWER_FLOW=87.91 REACTIVE_POWER=23.98 COMMUNICATION_LOG_SIZE=8662 ACCESS_BEHAVIOR=command_exec TEMPORAL_ENTROPY=0.42 SPECTRAL_ENERGY=8.79 SPATIAL_CORRELATION=0.71 WAVELET_COEFF_AVG=0.866 WAVELET_COEFF_STD=0.001 THREAT_PROBABILITY=0.09 ATTACK_TYPE=MITM RISK_SCORE=0.43 UNCERTAINTY=0.33 POLICY_ACTION=isolate_node REWARD_VALUE=0.21 IP_MUTATION=0 PORT_ROTATION=0 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=Port ATTACK_DETECTED=0,176b7ce1,DATASET=SG_SECURITY TIMESTAMP=2024\-01\-01_20:(.*?) NODE_ID=N2 VOLTAGE_LEVEL=238\.(.*?) FREQUENCY_SIGNAL=50\.(.*?) POWER_FLOW=87\.(.*?) REACTIVE_POWER=23\.(.*?) COMMUNICATION_LOG_SIZE=(.*?) ACCESS_BEHAVIOR=command_exec TEMPORAL_ENTROPY=0\.(.*?) SPECTRAL_ENERGY=8\.(.*?) SPATIAL_CORRELATION=0\.(.*?) WAVELET_COEFF_AVG=0\.(.*?) WAVELET_COEFF_STD=0\.(.*?) THREAT_PROBABILITY=0\.(.*?) ATTACK_TYPE=MITM RISK_SCORE=0\.(.*?) UNCERTAINTY=0\.(.*?) POLICY_ACTION=isolate_node REWARD_VALUE=0\.(.*?) IP_MUTATION=(.*?) PORT_ROTATION=(.*?) ENV_DIVERSIFICATION=(.*?) MTD_STRATEGY_USED=Port ATTACK_DETECTED=(.*?)$
DATASET=SG_SECURITY TIMESTAMP=2024-01-01_19:15:00 NODE_ID=N31 VOLTAGE_LEVEL=223.68 FREQUENCY_SIGNAL=50.08 POWER_FLOW=110.73 REACTIVE_POWER=35.25 COMMUNICATION_LOG_SIZE=5549 ACCESS_BEHAVIOR=command_exec TEMPORAL_ENTROPY=0.2 SPECTRAL_ENERGY=8.93 SPATIAL_CORRELATION=0.74 WAVELET_COEFF_AVG=0.283 WAVELET_COEFF_STD=0.188 THREAT_PROBABILITY=0.78 ATTACK_TYPE=Insider RISK_SCORE=0.62 UNCERTAINTY=0.08 POLICY_ACTION=alert_operator REWARD_VALUE=0.59 IP_MUTATION=1 PORT_ROTATION=0 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=IP+Env ATTACK_DETECTED=0,17b51d05,DATASET=SG_SECURITY TIMESTAMP=2024\-01\-01_19:(.*?) NODE_ID=N31 VOLTAGE_LEVEL=223\.(.*?) FREQUENCY_SIGNAL=50\.(.*?) POWER_FLOW=110\.(.*?) REACTIVE_POWER=35\.(.*?) COMMUNICATION_LOG_SIZE=(.*?) ACCESS_BEHAVIOR=command_exec TEMPORAL_ENTROPY=0\.(.*?) SPECTRAL_ENERGY=8\.(.*?) SPATIAL_CORRELATION=0\.(.*?) WAVELET_COEFF_AVG=0\.(.*?) WAVELET_COEFF_STD=0\.(.*?) THREAT_PROBABILITY=0\.(.*?) ATTACK_TYPE=Insider RISK_SCORE=0\.(.*?) UNCERTAINTY=0\.(.*?) POLICY_ACTION=alert_operator REWARD_VALUE=0\.(.*?) IP_MUTATION=(.*?) PORT_ROTATION=(.*?) ENV_DIVERSIFICATION=(.*?) MTD_STRATEGY_USED=IP\+Env ATTACK_DETECTED=(.*?)$
