Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Proxifier,1.46,13,11,0.974,0.677,0.667,0.385,0.455,0.417
Linux,3.41,344,338,0.916,0.082,0.806,0.215,0.219,0.217
Apache,2.53,29,29,1.000,0.727,1.000,0.517,0.517,0.517
Zookeeper,2.43,109,89,0.996,0.842,0.788,0.422,0.517,0.465
Hadoop,64.63,3242,236,0.823,0.535,0.117,0.031,0.428,0.058
HealthApp,291.54,28004,156,0.725,0.311,0.008,0.002,0.314,0.003
OpenStack,20.72,37,48,0.743,0.029,0.682,0.189,0.146,0.165
HPC,14.00,454,74,0.748,0.741,0.201,0.079,0.486,0.136
Mac,7.91,604,626,0.797,0.245,0.793,0.209,0.201,0.205
OpenSSH,225.74,52,38,0.705,0.364,0.689,0.288,0.395,0.333
Thunderbird,5264.91,17230,1241,0.786,0.163,0.116,0.019,0.263,0.035
BGL,6240.73,396,320,0.915,0.406,0.587,0.149,0.184,0.165
HDFS,1084.62,43,46,0.999,0.621,0.764,0.581,0.543,0.562
