Dataset,parse_time,identified_templates,ground_templates,GA,PA,FGA,PTA,RTA,FTA
Thunderbird,16316.03,6109,1241,0.794,0.386,0.254,0.071,0.351,0.119
Proxifier,681.65,13,11,0.506,0.778,0.750,0.846,1.000,0.917
Apache,122.79,30,29,0.997,0.992,0.949,0.700,0.724,0.712
OpenSSH,1134.35,34,38,0.748,0.655,0.889,0.618,0.553,0.583
HDFS,1162.20,44,46,1.000,0.948,0.889,0.795,0.761,0.778
OpenStack,1260.64,46,48,0.524,0.486,0.957,0.848,0.812,0.830
HPC,388.88,62,74,0.845,0.735,0.676,0.629,0.527,0.574
Zookeeper,1702.46,86,89,0.997,0.378,0.960,0.756,0.730,0.743
HealthApp,1182.27,159,156,0.993,0.673,0.971,0.717,0.731,0.724
Hadoop,4747.52,222,236,0.924,0.785,0.930,0.586,0.551,0.568
Spark,3346.08,208,236,0.870,0.708,0.842,0.553,0.487,0.518
BGL,8624.70,284,320,0.833,0.824,0.848,0.630,0.559,0.593
Linux,2374.83,240,338,0.764,0.700,0.768,0.512,0.364,0.426
Mac,15930.81,584,626,0.802,0.422,0.838,0.404,0.377,0.390
