LineId,Content
1,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_00:00:00 NODE_ID=N10 VOLTAGE_LEVEL=222.21 FREQUENCY_SIGNAL=49.55 POWER_FLOW=107.52 REACTIVE_POWER=27.31 COMMUNICATION_LOG_SIZE=1808 ACCESS_BEHAVIOR=logout TEMPORAL_ENTROPY=0.46 SPECTRAL_ENERGY=7.36 SPATIAL_CORRELATION=0.33 WAVELET_COEFF_AVG=0.972 WAVELET_COEFF_STD=0.475 THREAT_PROBABILITY=0.57 ATTACK_TYPE=DoS RISK_SCORE=0.59 UNCERTAINTY=0.22 POLICY_ACTION=isolate_node REWARD_VALUE=0.33 IP_MUTATION=1 PORT_ROTATION=1 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=Port ATTACK_DETECTED=0
2,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_00:15:00 NODE_ID=N1 VOLTAGE_LEVEL=232.78 FREQUENCY_SIGNAL=49.88 POWER_FLOW=45.32 REACTIVE_POWER=27.83 COMMUNICATION_LOG_SIZE=5092 ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0.43 SPECTRAL_ENERGY=5.07 SPATIAL_CORRELATION=0.31 WAVELET_COEFF_AVG=0.356 WAVELET_COEFF_STD=0.216 THREAT_PROBABILITY=0.75 ATTACK_TYPE=UNKNOWN RISK_SCORE=0.13 UNCERTAINTY=0.37 POLICY_ACTION=restrict_access REWARD_VALUE=0.11 IP_MUTATION=1 PORT_ROTATION=1 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=IP+Env ATTACK_DETECTED=1
3,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_00:30:00 NODE_ID=N44 VOLTAGE_LEVEL=233.72 FREQUENCY_SIGNAL=50.02 POWER_FLOW=105.28 REACTIVE_POWER=32.65 COMMUNICATION_LOG_SIZE=7524 ACCESS_BEHAVIOR=logout TEMPORAL_ENTROPY=0.25 SPECTRAL_ENERGY=15.29 SPATIAL_CORRELATION=0.87 WAVELET_COEFF_AVG=-0.176 WAVELET_COEFF_STD=0.401 THREAT_PROBABILITY=0.61 ATTACK_TYPE=Zero-Day RISK_SCORE=0.5 UNCERTAINTY=0.01 POLICY_ACTION=isolate_node REWARD_VALUE=0.94 IP_MUTATION=1 PORT_ROTATION=0 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=Port ATTACK_DETECTED=0
4,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_00:45:00 NODE_ID=N42 VOLTAGE_LEVEL=239.41 FREQUENCY_SIGNAL=49.68 POWER_FLOW=98.54 REACTIVE_POWER=24.85 COMMUNICATION_LOG_SIZE=6483 ACCESS_BEHAVIOR=command_exec TEMPORAL_ENTROPY=0.66 SPECTRAL_ENERGY=7.19 SPATIAL_CORRELATION=0.85 WAVELET_COEFF_AVG=-0.778 WAVELET_COEFF_STD=0.258 THREAT_PROBABILITY=0.88 ATTACK_TYPE=Zero-Day RISK_SCORE=0.92 UNCERTAINTY=0.17 POLICY_ACTION=increase_monitoring REWARD_VALUE=0.34 IP_MUTATION=1 PORT_ROTATION=1 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=UNKNOWN ATTACK_DETECTED=0
5,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_01:00:00 NODE_ID=N5 VOLTAGE_LEVEL=238.19 FREQUENCY_SIGNAL=49.77 POWER_FLOW=78.59 REACTIVE_POWER=35.3 COMMUNICATION_LOG_SIZE=4338 ACCESS_BEHAVIOR=logout TEMPORAL_ENTROPY=0.27 SPECTRAL_ENERGY=16.91 SPATIAL_CORRELATION=0.72 WAVELET_COEFF_AVG=0.545 WAVELET_COEFF_STD=0.316 THREAT_PROBABILITY=0.32 ATTACK_TYPE=DoS RISK_SCORE=0.12 UNCERTAINTY=0.17 POLICY_ACTION=restrict_access REWARD_VALUE=0.98 IP_MUTATION=0 PORT_ROTATION=1 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=IP+Port ATTACK_DETECTED=1
6,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_01:15:00 NODE_ID=N16 VOLTAGE_LEVEL=246.39 FREQUENCY_SIGNAL=50.04 POWER_FLOW=97.86 REACTIVE_POWER=32.49 COMMUNICATION_LOG_SIZE=4231 ACCESS_BEHAVIOR=login TEMPORAL_ENTROPY=0.55 SPECTRAL_ENERGY=11.49 SPATIAL_CORRELATION=0.76 WAVELET_COEFF_AVG=0.884 WAVELET_COEFF_STD=0.06 THREAT_PROBABILITY=0.26 ATTACK_TYPE=DoS RISK_SCORE=0.77 UNCERTAINTY=0.05 POLICY_ACTION=isolate_node REWARD_VALUE=0.08 IP_MUTATION=1 PORT_ROTATION=0 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=Env ATTACK_DETECTED=1
7,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_01:30:00 NODE_ID=N9 VOLTAGE_LEVEL=235.58 FREQUENCY_SIGNAL=49.62 POWER_FLOW=145.72 REACTIVE_POWER=34.42 COMMUNICATION_LOG_SIZE=5136 ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0.26 SPECTRAL_ENERGY=8.16 SPATIAL_CORRELATION=0.32 WAVELET_COEFF_AVG=0.033 WAVELET_COEFF_STD=0.454 THREAT_PROBABILITY=0.28 ATTACK_TYPE=DoS RISK_SCORE=0.05 UNCERTAINTY=0.05 POLICY_ACTION=alert_operator REWARD_VALUE=0.42 IP_MUTATION=1 PORT_ROTATION=0 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=Env ATTACK_DETECTED=0
8,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_01:45:00 NODE_ID=N12 VOLTAGE_LEVEL=240.37 FREQUENCY_SIGNAL=49.86 POWER_FLOW=66.79 REACTIVE_POWER=26.76 COMMUNICATION_LOG_SIZE=7510 ACCESS_BEHAVIOR=command_exec TEMPORAL_ENTROPY=0.39 SPECTRAL_ENERGY=14.76 SPATIAL_CORRELATION=0.48 WAVELET_COEFF_AVG=-0.205 WAVELET_COEFF_STD=0.25 THREAT_PROBABILITY=0.28 ATTACK_TYPE=UNKNOWN RISK_SCORE=0.49 UNCERTAINTY=0.02 POLICY_ACTION=increase_monitoring REWARD_VALUE=0.35 IP_MUTATION=1 PORT_ROTATION=1 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=IP+Env ATTACK_DETECTED=0
9,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_02:00:00 NODE_ID=N50 VOLTAGE_LEVEL=215.59 FREQUENCY_SIGNAL=50.46 POWER_FLOW=97.84 REACTIVE_POWER=28.05 COMMUNICATION_LOG_SIZE=9042 ACCESS_BEHAVIOR=command_exec TEMPORAL_ENTROPY=0.8 SPECTRAL_ENERGY=12.88 SPATIAL_CORRELATION=0.61 WAVELET_COEFF_AVG=0.537 WAVELET_COEFF_STD=0.333 THREAT_PROBABILITY=0.02 ATTACK_TYPE=MITM RISK_SCORE=0.45 UNCERTAINTY=0.08 POLICY_ACTION=increase_monitoring REWARD_VALUE=0.88 IP_MUTATION=0 PORT_ROTATION=0 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=Env ATTACK_DETECTED=1
10,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_02:15:00 NODE_ID=N40 VOLTAGE_LEVEL=215.44 FREQUENCY_SIGNAL=49.92 POWER_FLOW=110.6 REACTIVE_POWER=30.27 COMMUNICATION_LOG_SIZE=8619 ACCESS_BEHAVIOR=logout TEMPORAL_ENTROPY=0.51 SPECTRAL_ENERGY=19.41 SPATIAL_CORRELATION=0.53 WAVELET_COEFF_AVG=-0.184 WAVELET_COEFF_STD=0.004 THREAT_PROBABILITY=0.37 ATTACK_TYPE=MITM RISK_SCORE=0.81 UNCERTAINTY=0.48 POLICY_ACTION=isolate_node REWARD_VALUE=0.06 IP_MUTATION=1 PORT_ROTATION=1 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=IP ATTACK_DETECTED=1
11,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_02:30:00 NODE_ID=N26 VOLTAGE_LEVEL=204.42 FREQUENCY_SIGNAL=50.2 POWER_FLOW=79.13 REACTIVE_POWER=26.54 COMMUNICATION_LOG_SIZE=8349 ACCESS_BEHAVIOR=login TEMPORAL_ENTROPY=0.79 SPECTRAL_ENERGY=9.67 SPATIAL_CORRELATION=0.6 WAVELET_COEFF_AVG=0.547 WAVELET_COEFF_STD=0.263 THREAT_PROBABILITY=0.84 ATTACK_TYPE=False_Data_Injection RISK_SCORE=0.34 UNCERTAINTY=0.2 POLICY_ACTION=increase_monitoring REWARD_VALUE=0.84 IP_MUTATION=0 PORT_ROTATION=1 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=Env ATTACK_DETECTED=1
12,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_02:45:00 NODE_ID=N25 VOLTAGE_LEVEL=217.72 FREQUENCY_SIGNAL=50.21 POWER_FLOW=116.05 REACTIVE_POWER=18.72 COMMUNICATION_LOG_SIZE=9228 ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0.77 SPECTRAL_ENERGY=18.79 SPATIAL_CORRELATION=0.68 WAVELET_COEFF_AVG=-0.332 WAVELET_COEFF_STD=0.04 THREAT_PROBABILITY=0.6 ATTACK_TYPE=False_Data_Injection RISK_SCORE=0.04 UNCERTAINTY=0.34 POLICY_ACTION=restrict_access REWARD_VALUE=0.28 IP_MUTATION=0 PORT_ROTATION=1 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=UNKNOWN ATTACK_DETECTED=1
13,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_03:00:00 NODE_ID=N19 VOLTAGE_LEVEL=238.34 FREQUENCY_SIGNAL=49.99 POWER_FLOW=83.92 REACTIVE_POWER=28.9 COMMUNICATION_LOG_SIZE=5860 ACCESS_BEHAVIOR=command_exec TEMPORAL_ENTROPY=0.78 SPECTRAL_ENERGY=6.04 SPATIAL_CORRELATION=0.76 WAVELET_COEFF_AVG=0.709 WAVELET_COEFF_STD=0.059 THREAT_PROBABILITY=0.37 ATTACK_TYPE=MITM RISK_SCORE=0.06 UNCERTAINTY=0.32 POLICY_ACTION=isolate_node REWARD_VALUE=0.95 IP_MUTATION=1 PORT_ROTATION=0 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=IP+Env ATTACK_DETECTED=1
14,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_03:15:00 NODE_ID=N50 VOLTAGE_LEVEL=233.55 FREQUENCY_SIGNAL=50.22 POWER_FLOW=108.85 REACTIVE_POWER=23.82 COMMUNICATION_LOG_SIZE=5726 ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0.92 SPECTRAL_ENERGY=19.39 SPATIAL_CORRELATION=0.33 WAVELET_COEFF_AVG=0.553 WAVELET_COEFF_STD=0.466 THREAT_PROBABILITY=0.25 ATTACK_TYPE=MITM RISK_SCORE=0.75 UNCERTAINTY=0.39 POLICY_ACTION=increase_monitoring REWARD_VALUE=0.2 IP_MUTATION=1 PORT_ROTATION=1 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=IP+Env ATTACK_DETECTED=1
15,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_03:30:00 NODE_ID=N26 VOLTAGE_LEVEL=247.77 FREQUENCY_SIGNAL=50.25 POWER_FLOW=121.19 REACTIVE_POWER=23.49 COMMUNICATION_LOG_SIZE=6127 ACCESS_BEHAVIOR=command_exec TEMPORAL_ENTROPY=0.49 SPECTRAL_ENERGY=5.95 SPATIAL_CORRELATION=0.55 WAVELET_COEFF_AVG=-0.887 WAVELET_COEFF_STD=0.168 THREAT_PROBABILITY=1.0 ATTACK_TYPE=MITM RISK_SCORE=0.76 UNCERTAINTY=0.16 POLICY_ACTION=restrict_access REWARD_VALUE=0.61 IP_MUTATION=0 PORT_ROTATION=0 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=IP+Port ATTACK_DETECTED=1
16,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_03:45:00 NODE_ID=N6 VOLTAGE_LEVEL=234.97 FREQUENCY_SIGNAL=49.66 POWER_FLOW=128.53 REACTIVE_POWER=30.81 COMMUNICATION_LOG_SIZE=5448 ACCESS_BEHAVIOR=login TEMPORAL_ENTROPY=0.12 SPECTRAL_ENERGY=9.87 SPATIAL_CORRELATION=0.73 WAVELET_COEFF_AVG=0.815 WAVELET_COEFF_STD=0.24 THREAT_PROBABILITY=0.12 ATTACK_TYPE=DoS RISK_SCORE=0.98 UNCERTAINTY=0.25 POLICY_ACTION=isolate_node REWARD_VALUE=0.67 IP_MUTATION=0 PORT_ROTATION=1 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=Env ATTACK_DETECTED=0
17,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_04:00:00 NODE_ID=N30 VOLTAGE_LEVEL=215.46 FREQUENCY_SIGNAL=50.39 POWER_FLOW=121.72 REACTIVE_POWER=28.16 COMMUNICATION_LOG_SIZE=2756 ACCESS_BEHAVIOR=command_exec TEMPORAL_ENTROPY=0.47 SPECTRAL_ENERGY=19.7 SPATIAL_CORRELATION=0.77 WAVELET_COEFF_AVG=-0.142 WAVELET_COEFF_STD=0.48 THREAT_PROBABILITY=0.71 ATTACK_TYPE=UNKNOWN RISK_SCORE=0.9 UNCERTAINTY=0.07 POLICY_ACTION=alert_operator REWARD_VALUE=0.52 IP_MUTATION=0 PORT_ROTATION=0 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=IP ATTACK_DETECTED=0
18,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_04:15:00 NODE_ID=N18 VOLTAGE_LEVEL=221.49 FREQUENCY_SIGNAL=50.3 POWER_FLOW=96.82 REACTIVE_POWER=28.47 COMMUNICATION_LOG_SIZE=9950 ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0.95 SPECTRAL_ENERGY=5.04 SPATIAL_CORRELATION=0.46 WAVELET_COEFF_AVG=-0.194 WAVELET_COEFF_STD=0.014 THREAT_PROBABILITY=0.7 ATTACK_TYPE=Insider RISK_SCORE=0.54 UNCERTAINTY=0.31 POLICY_ACTION=alert_operator REWARD_VALUE=0.13 IP_MUTATION=1 PORT_ROTATION=0 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=IP+Env ATTACK_DETECTED=1
19,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_04:30:00 NODE_ID=N40 VOLTAGE_LEVEL=230.89 FREQUENCY_SIGNAL=49.95 POWER_FLOW=85.84 REACTIVE_POWER=31.26 COMMUNICATION_LOG_SIZE=1276 ACCESS_BEHAVIOR=logout TEMPORAL_ENTROPY=0.38 SPECTRAL_ENERGY=17.9 SPATIAL_CORRELATION=0.84 WAVELET_COEFF_AVG=0.826 WAVELET_COEFF_STD=0.428 THREAT_PROBABILITY=0.45 ATTACK_TYPE=DoS RISK_SCORE=0.89 UNCERTAINTY=0.03 POLICY_ACTION=isolate_node REWARD_VALUE=0.78 IP_MUTATION=1 PORT_ROTATION=0 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=Env ATTACK_DETECTED=1
20,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_04:45:00 NODE_ID=N50 VOLTAGE_LEVEL=229.0 FREQUENCY_SIGNAL=50.36 POWER_FLOW=93.42 REACTIVE_POWER=37.83 COMMUNICATION_LOG_SIZE=5614 ACCESS_BEHAVIOR=logout TEMPORAL_ENTROPY=0.93 SPECTRAL_ENERGY=14.06 SPATIAL_CORRELATION=0.24 WAVELET_COEFF_AVG=0.452 WAVELET_COEFF_STD=0.293 THREAT_PROBABILITY=0.5 ATTACK_TYPE=DoS RISK_SCORE=0.98 UNCERTAINTY=0.15 POLICY_ACTION=alert_operator REWARD_VALUE=0.43 IP_MUTATION=0 PORT_ROTATION=1 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=IP+Env ATTACK_DETECTED=0
21,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_05:00:00 NODE_ID=N1 VOLTAGE_LEVEL=237.21 FREQUENCY_SIGNAL=49.75 POWER_FLOW=93.94 REACTIVE_POWER=34.51 COMMUNICATION_LOG_SIZE=7669 ACCESS_BEHAVIOR=file_access TEMPORAL_ENTROPY=0.64 SPECTRAL_ENERGY=11.52 SPATIAL_CORRELATION=0.25 WAVELET_COEFF_AVG=-0.475 WAVELET_COEFF_STD=0.479 THREAT_PROBABILITY=0.15 ATTACK_TYPE=False_Data_Injection RISK_SCORE=0.19 UNCERTAINTY=0.04 POLICY_ACTION=increase_monitoring REWARD_VALUE=0.53 IP_MUTATION=0 PORT_ROTATION=1 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=IP+Env ATTACK_DETECTED=1
22,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_05:15:00 NODE_ID=N31 VOLTAGE_LEVEL=250.84 FREQUENCY_SIGNAL=49.98 POWER_FLOW=76.45 REACTIVE_POWER=32.82 COMMUNICATION_LOG_SIZE=9193 ACCESS_BEHAVIOR=login TEMPORAL_ENTROPY=0.73 SPECTRAL_ENERGY=6.54 SPATIAL_CORRELATION=0.87 WAVELET_COEFF_AVG=-0.521 WAVELET_COEFF_STD=0.261 THREAT_PROBABILITY=0.56 ATTACK_TYPE=Insider RISK_SCORE=0.88 UNCERTAINTY=0.49 POLICY_ACTION=isolate_node REWARD_VALUE=0.9 IP_MUTATION=0 PORT_ROTATION=1 ENV_DIVERSIFICATION=0 MTD_STRATEGY_USED=IP+Env ATTACK_DETECTED=0
23,DATASET=SG_SECURITY TIMESTAMP=2024-01-01_05:30:00 NODE_ID=N9 VOLTAGE_LEVEL=232.86 FREQUENCY_SIGNAL=49.93 POWER_FLOW=128.59 REACTIVE_POWER=34.24 COMMUNICATION_LOG_SIZE=6047 ACCESS_BEHAVIOR=command_exec TEMPORAL_ENTROPY=0.84 SPECTRAL_ENERGY=13.52 SPATIAL_CORRELATION=0.85 WAVELET_COEFF_AVG=-0.876 WAVELET_COEFF_STD=0.319 THREAT_PROBABILITY=0.26 ATTACK_TYPE=UNKNOWN RISK_SCORE=0.57 UNCERTAINTY=0.04 POLICY_ACTION=restrict_access REWARD_VALUE=0.55 IP_MUTATION=1 PORT_ROTATION=0 ENV_DIVERSIFICATION=1 MTD_STRATEGY_USED=IP ATTACK_DETECTED=1
