LineId,Content,EventTemplate
1,SRC=UNKNOWN DST=UNKNOWN SPORT=UNKNOWN DPORT=UNKNOWN PROTO=6 REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> PROTO=<NUMBER> REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART
2,SRC=UNKNOWN DST=UNKNOWN SPORT=UNKNOWN DPORT=UNKNOWN PROTO=6 REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> PROTO=<NUMBER> REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART
3,SRC=UNKNOWN DST=UNKNOWN SPORT=UNKNOWN DPORT=UNKNOWN PROTO=6 REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> PROTO=<NUMBER> REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART
4,SRC=UNKNOWN DST=UNKNOWN SPORT=UNKNOWN DPORT=UNKNOWN PROTO=6 REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> PROTO=<NUMBER> REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART
5,SRC=UNKNOWN DST=UNKNOWN SPORT=UNKNOWN DPORT=UNKNOWN PROTO=6 REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> PROTO=<NUMBER> REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART
6,SRC=UNKNOWN DST=UNKNOWN SPORT=UNKNOWN DPORT=UNKNOWN PROTO=6 REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> PROTO=<NUMBER> REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART
7,SRC=UNKNOWN DST=UNKNOWN SPORT=UNKNOWN DPORT=UNKNOWN PROTO=6 REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> PROTO=<NUMBER> REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART
8,SRC=UNKNOWN DST=UNKNOWN SPORT=UNKNOWN DPORT=UNKNOWN PROTO=6 REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> PROTO=<NUMBER> REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART
9,SRC=UNKNOWN DST=UNKNOWN SPORT=UNKNOWN DPORT=UNKNOWN PROTO=6 REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> PROTO=<NUMBER> REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART
10,SRC=UNKNOWN DST=UNKNOWN SPORT=UNKNOWN DPORT=UNKNOWN PROTO=6 REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART,SRC=<IP> DST=<IP> SPORT=<NUMBER> DPORT=<NUMBER> PROTO=<NUMBER> REQ_FUNC=1 RESP_FUNC=129 EVENT=COLD_RESTART
