LineId,Content,EventTemplate
1,DATASET=SG_SECURITY NODE=N12 ACCESS=logout ATTACK_TYPE=DoS POLICY=restrict_access MTD=IP ATTACK_DETECTED=0 VOLTAGE=230.85 FREQUENCY=50.43 POWER_FLOW=86.12 REACTIVE_POWER=26.5 COMM_SIZE=1283 THREAT_PROB=0.94 RISK_SCORE=0.01 UNCERTAINTY=0.09 TEMPORAL_ENTROPY=0.81 SPECTRAL_ENERGY=18.58 SPATIAL_CORR=0.48,DATASET=SG_SECURITY NODE=<ID> ACCESS=logout ATTACK_TYPE=DoS POLICY=restrict_access MTD=IP ATTACK_DETECTED=<NUMBER> VOLTAGE=<NUMBER> FREQUENCY=<NUMBER> POWER_FLOW=<NUMBER> REACTIVE_POWER=<NUMBER> COMM_SIZE=<NUMBER> THREAT_PROB=<NUMBER> RISK_SCORE=<NUMBER> UNCERTAINTY=<NUMBER> TEMPORAL_ENTROPY=<NUMBER> SPECTRAL_ENERGY=<NUMBER> SPATIAL_CORR=<NUMBER>
2,DATASET=SG_SECURITY NODE=N37 ACCESS=login ATTACK_TYPE=DoS POLICY=isolate_node MTD=Env ATTACK_DETECTED=1 VOLTAGE=227.69 FREQUENCY=50.2 POWER_FLOW=124.32 REACTIVE_POWER=30.51 COMM_SIZE=2823 THREAT_PROB=0.5 RISK_SCORE=0.42 UNCERTAINTY=0.36 TEMPORAL_ENTROPY=0.38 SPECTRAL_ENERGY=13.97 SPATIAL_CORR=0.75,DATASET=SG_SECURITY NODE=<ID> ACCESS=login ATTACK_TYPE=DoS POLICY=isolate_node MTD=Env ATTACK_DETECTED=<NUMBER> VOLTAGE=<NUMBER> FREQUENCY=<NUMBER> POWER_FLOW=<NUMBER> REACTIVE_POWER=<NUMBER> COMM_SIZE=<NUMBER> THREAT_PROB=<NUMBER> RISK_SCORE=<NUMBER> UNCERTAINTY=<NUMBER> TEMPORAL_ENTROPY=<NUMBER> SPECTRAL_ENERGY=<NUMBER> SPATIAL_CORR=<NUMBER>
3,DATASET=SG_SECURITY NODE=N16 ACCESS=login ATTACK_TYPE=DoS POLICY=increase_monitoring MTD=Port ATTACK_DETECTED=0 VOLTAGE=223.71 FREQUENCY=49.59 POWER_FLOW=84.88 REACTIVE_POWER=37.45 COMM_SIZE=3233 THREAT_PROB=0.47 RISK_SCORE=0.65 UNCERTAINTY=0.0 TEMPORAL_ENTROPY=0.36 SPECTRAL_ENERGY=14.36 SPATIAL_CORR=0.39,DATASET=SG_SECURITY NODE=<ID> ACCESS=login ATTACK_TYPE=DoS POLICY=increase_monitoring MTD=Port ATTACK_DETECTED=<NUMBER> VOLTAGE=<NUMBER> FREQUENCY=<NUMBER> POWER_FLOW=<NUMBER> REACTIVE_POWER=<NUMBER> COMM_SIZE=<NUMBER> THREAT_PROB=<NUMBER> RISK_SCORE=<NUMBER> UNCERTAINTY=<NUMBER> TEMPORAL_ENTROPY=<NUMBER> SPECTRAL_ENERGY=<NUMBER> SPATIAL_CORR=<NUMBER>
4,DATASET=SG_SECURITY NODE=N7 ACCESS=login ATTACK_TYPE=DoS POLICY=isolate_node MTD=IP+Env ATTACK_DETECTED=1 VOLTAGE=220.45 FREQUENCY=49.89 POWER_FLOW=66.95 REACTIVE_POWER=37.17 COMM_SIZE=7028 THREAT_PROB=0.39 RISK_SCORE=0.55 UNCERTAINTY=0.26 TEMPORAL_ENTROPY=0.84 SPECTRAL_ENERGY=10.62 SPATIAL_CORR=0.76,DATASET=SG_SECURITY NODE=<ID> ACCESS=login ATTACK_TYPE=DoS POLICY=isolate_node MTD=IP+Env ATTACK_DETECTED=<NUMBER> VOLTAGE=<NUMBER> FREQUENCY=<NUMBER> POWER_FLOW=<NUMBER> REACTIVE_POWER=<NUMBER> COMM_SIZE=<NUMBER> THREAT_PROB=<NUMBER> RISK_SCORE=<NUMBER> UNCERTAINTY=<NUMBER> TEMPORAL_ENTROPY=<NUMBER> SPECTRAL_ENERGY=<NUMBER> SPATIAL_CORR=<NUMBER>
5,DATASET=SG_SECURITY NODE=N8 ACCESS=file_access ATTACK_TYPE=DoS POLICY=increase_monitoring MTD=IP ATTACK_DETECTED=1 VOLTAGE=232.87 FREQUENCY=50.27 POWER_FLOW=86.84 REACTIVE_POWER=27.41 COMM_SIZE=1381 THREAT_PROB=0.8 RISK_SCORE=0.99 UNCERTAINTY=0.0 TEMPORAL_ENTROPY=0.2 SPECTRAL_ENERGY=9.01 SPATIAL_CORR=0.27,DATASET=SG_SECURITY NODE=<ID> ACCESS=file_access ATTACK_TYPE=DoS POLICY=increase_monitoring MTD=IP ATTACK_DETECTED=<NUMBER> VOLTAGE=<NUMBER> FREQUENCY=<NUMBER> POWER_FLOW=<NUMBER> REACTIVE_POWER=<NUMBER> COMM_SIZE=<NUMBER> THREAT_PROB=<NUMBER> RISK_SCORE=<NUMBER> UNCERTAINTY=<NUMBER> TEMPORAL_ENTROPY=<NUMBER> SPECTRAL_ENERGY=<NUMBER> SPATIAL_CORR=<NUMBER>
6,DATASET=SG_SECURITY NODE=N5 ACCESS=file_access ATTACK_TYPE=DoS POLICY=isolate_node MTD=IP+Env ATTACK_DETECTED=1 VOLTAGE=232.88 FREQUENCY=50.04 POWER_FLOW=88.67 REACTIVE_POWER=33.87 COMM_SIZE=3667 THREAT_PROB=0.46 RISK_SCORE=0.22 UNCERTAINTY=0.36 TEMPORAL_ENTROPY=0.18 SPECTRAL_ENERGY=13.14 SPATIAL_CORR=0.5,DATASET=SG_SECURITY NODE=<ID> ACCESS=file_access ATTACK_TYPE=DoS POLICY=isolate_node MTD=IP+Env ATTACK_DETECTED=<NUMBER> VOLTAGE=<NUMBER> FREQUENCY=<NUMBER> POWER_FLOW=<NUMBER> REACTIVE_POWER=<NUMBER> COMM_SIZE=<NUMBER> THREAT_PROB=<NUMBER> RISK_SCORE=<NUMBER> UNCERTAINTY=<NUMBER> TEMPORAL_ENTROPY=<NUMBER> SPECTRAL_ENERGY=<NUMBER> SPATIAL_CORR=<NUMBER>
7,DATASET=SG_SECURITY NODE=N46 ACCESS=login ATTACK_TYPE=DoS POLICY=alert_operator MTD=IP+Env ATTACK_DETECTED=1 VOLTAGE=213.93 FREQUENCY=49.74 POWER_FLOW=104.21 REACTIVE_POWER=34.71 COMM_SIZE=7801 THREAT_PROB=0.39 RISK_SCORE=1.0 UNCERTAINTY=0.46 TEMPORAL_ENTROPY=0.31 SPECTRAL_ENERGY=12.22 SPATIAL_CORR=0.66,DATASET=SG_SECURITY NODE=<ID> ACCESS=login ATTACK_TYPE=DoS POLICY=alert_operator MTD=IP+Env ATTACK_DETECTED=<NUMBER> VOLTAGE=<NUMBER> FREQUENCY=<NUMBER> POWER_FLOW=<NUMBER> REACTIVE_POWER=<NUMBER> COMM_SIZE=<NUMBER> THREAT_PROB=<NUMBER> RISK_SCORE=<NUMBER> UNCERTAINTY=<NUMBER> TEMPORAL_ENTROPY=<NUMBER> SPECTRAL_ENERGY=<NUMBER> SPATIAL_CORR=<NUMBER>
8,DATASET=SG_SECURITY NODE=N24 ACCESS=login ATTACK_TYPE=DoS POLICY=isolate_node MTD=Port ATTACK_DETECTED=1 VOLTAGE=231.93 FREQUENCY=50.47 POWER_FLOW=106.38 REACTIVE_POWER=24.77 COMM_SIZE=7970 THREAT_PROB=0.56 RISK_SCORE=0.37 UNCERTAINTY=0.05 TEMPORAL_ENTROPY=0.41 SPECTRAL_ENERGY=17.86 SPATIAL_CORR=0.61,DATASET=SG_SECURITY NODE=<ID> ACCESS=login ATTACK_TYPE=DoS POLICY=isolate_node MTD=Port ATTACK_DETECTED=<NUMBER> VOLTAGE=<NUMBER> FREQUENCY=<NUMBER> POWER_FLOW=<NUMBER> REACTIVE_POWER=<NUMBER> COMM_SIZE=<NUMBER> THREAT_PROB=<NUMBER> RISK_SCORE=<NUMBER> UNCERTAINTY=<NUMBER> TEMPORAL_ENTROPY=<NUMBER> SPECTRAL_ENERGY=<NUMBER> SPATIAL_CORR=<NUMBER>
9,DATASET=SG_SECURITY NODE=N25 ACCESS=command_exec ATTACK_TYPE=DoS POLICY=increase_monitoring MTD=UNKNOWN ATTACK_DETECTED=1 VOLTAGE=223.42 FREQUENCY=50.12 POWER_FLOW=111.74 REACTIVE_POWER=31.06 COMM_SIZE=5098 THREAT_PROB=0.55 RISK_SCORE=0.87 UNCERTAINTY=0.28 TEMPORAL_ENTROPY=0.41 SPECTRAL_ENERGY=12.27 SPATIAL_CORR=0.32,DATASET=SG_SECURITY NODE=<ID> ACCESS=command_exec ATTACK_TYPE=DoS POLICY=increase_monitoring MTD=UNKNOWN ATTACK_DETECTED=<NUMBER> VOLTAGE=<NUMBER> FREQUENCY=<NUMBER> POWER_FLOW=<NUMBER> REACTIVE_POWER=<NUMBER> COMM_SIZE=<NUMBER> THREAT_PROB=<NUMBER> RISK_SCORE=<NUMBER> UNCERTAINTY=<NUMBER> TEMPORAL_ENTROPY=<NUMBER> SPECTRAL_ENERGY=<NUMBER> SPATIAL_CORR=<NUMBER>
10,DATASET=SG_SECURITY NODE=N11 ACCESS=logout ATTACK_TYPE=DoS POLICY=increase_monitoring MTD=IP ATTACK_DETECTED=1 VOLTAGE=218.43 FREQUENCY=50.25 POWER_FLOW=106.81 REACTIVE_POWER=30.29 COMM_SIZE=2319 THREAT_PROB=0.54 RISK_SCORE=0.12 UNCERTAINTY=0.48 TEMPORAL_ENTROPY=0.84 SPECTRAL_ENERGY=7.37 SPATIAL_CORR=0.5,DATASET=SG_SECURITY NODE=<ID> ACCESS=logout ATTACK_TYPE=DoS POLICY=increase_monitoring MTD=IP ATTACK_DETECTED=<NUMBER> VOLTAGE=<NUMBER> FREQUENCY=<NUMBER> POWER_FLOW=<NUMBER> REACTIVE_POWER=<NUMBER> COMM_SIZE=<NUMBER> THREAT_PROB=<NUMBER> RISK_SCORE=<NUMBER> UNCERTAINTY=<NUMBER> TEMPORAL_ENTROPY=<NUMBER> SPECTRAL_ENERGY=<NUMBER> SPATIAL_CORR=<NUMBER>
