timestamp,node_id,voltage_level,frequency_signal,power_flow,reactive_power,communication_log_size,access_behavior,temporal_entropy,spectral_energy,spatial_correlation,wavelet_coeff_avg,wavelet_coeff_std,threat_probability,attack_type,risk_score,uncertainty,policy_action,reward_value,ip_mutation,port_rotation,env_diversification,mtd_strategy_used,attack_detected,log_id,expected_template,group_id,is_anomaly,annotation_note
2024-01-07 14:30:00,N12,230.85,50.43,86.12,26.5,1283,logout,0.81,18.58,0.48,0.721,0.365,0.94,DoS,0.01,0.09,restrict_access,0.26,0,1,0,IP,0,0,NODE=<NODE> ACCESS=<ACTION> ATTACK=DoS MTD=<STRATEGY>,DoS,True,Context-aware SG-security template
2024-01-07 23:45:00,N37,227.69,50.2,124.32,30.51,2823,login,0.38,13.97,0.75,-0.483,0.399,0.5,DoS,0.42,0.36,isolate_node,0.11,0,1,1,Env,1,1,NODE=<NODE> ACCESS=<ACTION> ATTACK=DoS MTD=<STRATEGY>,DoS,True,Context-aware SG-security template
2024-01-06 07:00:00,N16,223.71,49.59,84.88,37.45,3233,login,0.36,14.36,0.39,0.412,0.328,0.47,DoS,0.65,0.0,increase_monitoring,0.44,0,1,0,Port,0,2,NODE=<NODE> ACCESS=<ACTION> ATTACK=DoS MTD=<STRATEGY>,DoS,True,Context-aware SG-security template
2024-01-05 02:30:00,N7,220.45,49.89,66.95,37.17,7028,login,0.84,10.62,0.76,-0.544,0.234,0.39,DoS,0.55,0.26,isolate_node,0.96,0,0,1,IP+Env,1,3,NODE=<NODE> ACCESS=<ACTION> ATTACK=DoS MTD=<STRATEGY>,DoS,True,Context-aware SG-security template
2024-01-07 07:45:00,N8,232.87,50.27,86.84,27.41,1381,file_access,0.2,9.01,0.27,-0.836,0.062,0.8,DoS,0.99,0.0,increase_monitoring,0.89,0,1,1,IP,1,4,NODE=<NODE> ACCESS=<ACTION> ATTACK=DoS MTD=<STRATEGY>,DoS,True,Context-aware SG-security template
2024-01-02 20:30:00,N5,232.88,50.04,88.67,33.87,3667,file_access,0.18,13.14,0.5,0.812,0.121,0.46,DoS,0.22,0.36,isolate_node,0.85,0,1,1,IP+Env,1,5,NODE=<NODE> ACCESS=<ACTION> ATTACK=DoS MTD=<STRATEGY>,DoS,True,Context-aware SG-security template
2024-01-07 18:15:00,N46,213.93,49.74,104.21,34.71,7801,login,0.31,12.22,0.66,0.05,0.082,0.39,DoS,1.0,0.46,alert_operator,0.56,0,0,0,IP+Env,1,6,NODE=<NODE> ACCESS=<ACTION> ATTACK=DoS MTD=<STRATEGY>,DoS,True,Context-aware SG-security template
2024-01-06 15:30:00,N24,231.93,50.47,106.38,24.77,7970,login,0.41,17.86,0.61,0.674,0.065,0.56,DoS,0.37,0.05,isolate_node,0.19,0,1,0,Port,1,7,NODE=<NODE> ACCESS=<ACTION> ATTACK=DoS MTD=<STRATEGY>,DoS,True,Context-aware SG-security template
2024-01-07 17:30:00,N25,223.42,50.12,111.74,31.06,5098,command_exec,0.41,12.27,0.32,0.809,0.307,0.55,DoS,0.87,0.28,increase_monitoring,0.24,1,0,1,,1,8,NODE=<NODE> ACCESS=<ACTION> ATTACK=DoS MTD=<STRATEGY>,DoS,True,Context-aware SG-security template
2024-01-08 00:00:00,N11,218.43,50.25,106.81,30.29,2319,logout,0.84,7.37,0.5,0.904,0.057,0.54,DoS,0.12,0.48,increase_monitoring,0.36,1,0,1,IP,1,9,NODE=<NODE> ACCESS=<ACTION> ATTACK=DoS MTD=<STRATEGY>,DoS,True,Context-aware SG-security template
